region,decade,gdp_pc_weighted,pop
France,1490,1469.9539889371197,14830.0
France,1500,1536.5733423153722,15024.545454545454
France,1510,1509.7119118471635,15350.0
France,1520,1388.0701773099624,15700.0
France,1530,1378.3917922140208,16050.0
France,1540,1507.7759670858745,16400.0
France,1550,1416.0062530253365,16750.0
France,1560,1313.6317071861536,17100.0
France,1570,1295.9620152200655,17450.0
France,1580,1371.078745797383,17800.0
France,1590,1287.8334060502852,18150.0
France,1600,1528.485847464256,18492.78636363636
France,1610,1589.8612841029562,18797.1
France,1620,1633.6829444385337,19094.2
France,1630,1476.3591906873999,19391.300000000003
France,1640,1490.5069661428547,19688.399999999998
France,1650,1618.9859017232657,19985.5
France,1660,1853.4781566330084,20282.600000000002
France,1670,2073.380676224131,20579.699999999997
France,1680,1835.8216888655224,20876.8
France,1690,1746.1413936264748,21173.9
France,1700,1741.3421228129787,21541.611363636363
France,1710,1683.0637098791371,22285.916666666668
France,1720,1943.6220451924862,23100.833333333332
France,1730,1901.7012888027764,23915.75
France,1740,1843.2769315025855,24730.666666666664
France,1750,1781.2637436069444,25545.583333333332
France,1760,1901.4404382925006,26360.5
France,1770,1714.8417603838127,27175.416666666668
France,1780,1874.5587604810062,27990.333333333336
France,1790,1774.0264345661178,28805.25
France,1800,1707.822315979094,29620.166666666664
France,1810,1871.0169619866408,30435.083333333332
France,1820,1774.8001749603964,31436.784090909092
France,1830,1969.0552012899639,33244.88888888889
France,1840,2245.5688089777836,34871.27272727273
France,1850,2527.25975552257,36349.11111111111
France,1860,2929.4622029420516,37400.0
France,1870,3129.0,38145.666666666664
France,1880,3330.8333333333335,39024.90909090909
German world,1500,1735.4256547385128,12100.0
German world,1510,1786.5717020171062,12400.0
German world,1520,1723.614184580931,12800.0
German world,1530,1652.6196026083308,13200.0
German world,1540,1607.6157661820762,13600.0
German world,1550,1515.8836919896326,14000.0
German world,1560,1541.9276944230876,14400.0
German world,1570,1480.816133949006,14800.0
German world,1580,1542.4342736450556,15200.0
German world,1590,1463.904363683203,15600.0
German world,1600,1481.428372173905,15931.818181818182
German world,1610,1493.4357931358,15900.0
German world,1620,1513.7135173056172,15800.0
German world,1630,1480.1269365227636,15700.0
German world,1640,1511.2002964718129,15600.0
German world,1650,1582.4549210196499,15500.0
German world,1660,1637.9420320686766,15400.0
German world,1670,1696.8777200703003,15300.0
German world,1680,1627.4148316860367,15200.0
German world,1690,1626.4638168838019,15100.0
German world,1700,1596.7125864700713,15126.193181818182
German world,1710,1631.1882374765028,15825.416666666666
German world,1720,1702.5434325491567,16650.833333333332
German world,1730,1731.2059893163932,17476.25
German world,1740,1697.7176430583058,18301.666666666668
German world,1750,1750.015843955895,19127.083333333332
German world,1760,1728.003309259974,19952.5
German world,1770,1714.0777229281553,20777.916666666668
German world,1780,1785.7517478786285,21603.333333333336
German world,1790,1790.1898746315517,22428.75
German world,1800,1791.5715894321866,23254.166666666668
German world,1810,1822.6678728118532,24079.583333333332
German world,1820,1978.148201676135,23447.239583333332
German world,1830,2093.204070072403,25583.3
German world,1840,2160.207251177051,28795.25
German world,1850,2228.284080480493,22690.64285714286
German world,1860,2600.608221202081,18654.739130434784
German world,1870,3007.822795257607,17390.91304347826
German world,1880,3297.4068803119385,17007.666666666668
Greek World,1000,912.1428571428571,4666.666666666667
Greek World,1120,898.107849011384,4450.666666666667
Greek World,1280,1343.6926018215502,8364.369999999999
Greek World,1290,1321.121871217526,8527.0
Greek World,1300,1352.6558255585064,8455.652173913044
Greek World,1310,1415.3706228120107,8753.0
Greek World,1320,1274.117316720682,8866.0
Greek World,1330,1413.7003729402188,8979.0
Greek World,1340,1536.6016012928337,9092.0
Greek World,1350,1390.2846797778366,9063.305263157894
Greek World,1360,1587.631994537572,9318.0
Greek World,1370,1569.2266944818189,9431.0
Greek World,1380,1546.452497180183,9544.0
Greek World,1390,1486.0567268363184,9657.0
Greek World,1400,1498.2507171271247,9527.826086956522
Greek World,1410,1472.633408994929,9883.0
Greek World,1420,1473.3536403130063,9996.0
Greek World,1430,1439.518284447072,10109.0
Greek World,1440,1368.953037675104,10222.0
Greek World,1450,1575.5677419837075,10118.05
Greek World,1460,1409.158264114626,10448.0
Greek World,1470,1482.4821926833258,10561.0
Greek World,1480,1390.07848020345,10674.0
Greek World,1490,1384.793636699633,10787.0
Greek World,1500,1458.239181595208,10441.12
Greek World,1510,1474.7928509307642,11147.0
Greek World,1520,1389.2515112465828,11394.0
Greek World,1530,1360.9333565812974,11641.0
Greek World,1540,1475.9218633804142,11888.0
Greek World,1550,1471.676306855568,12118.736842105263
Greek World,1560,1370.5880117163515,12382.0
Greek World,1570,1366.9027191220898,12629.0
Greek World,1580,1382.014025914834,12876.0
Greek World,1590,1312.2985041382346,13123.0
Greek World,1600,1474.630623500333,13348.963043478261
Greek World,1610,1455.9562665229223,13545.05
Greek World,1620,1474.369301759232,13720.1
Greek World,1630,1355.7101380058677,13895.150000000001
Greek World,1640,1360.4695406368728,14070.2
Greek World,1650,1469.627186527062,13888.325
Greek World,1660,1629.9030378293246,14420.3
Greek World,1670,1787.549723742922,14595.349999999999
Greek World,1680,1620.3602660498086,14770.4
Greek World,1690,1577.5660308846852,14945.449999999999
Greek World,1700,1580.157981143237,14813.94375
Greek World,1710,1506.8199773743536,15671.0
Greek World,1720,1716.8138157188403,16221.5
Greek World,1730,1703.667684827372,16772.0
Greek World,1740,1675.3236893967512,17322.5
Greek World,1750,1656.2160548543425,17351.69
Greek World,1760,1746.8470769803898,18423.5
Greek World,1770,1600.9519811577638,18974.0
Greek World,1780,1725.9307026727895,19524.5
Greek World,1790,1669.1389868210517,20075.0
Greek World,1800,1731.5103776811854,20361.87037037037
Greek World,1810,1984.6019212366639,20651.666666666668
Greek World,1820,1947.3232426301986,18490.48717948718
Greek World,1830,2069.815659346599,21223.206896551725
Greek World,1840,2195.5169959173545,18633.454545454544
Greek World,1850,2342.930331764947,19682.88888888889
Greek World,1860,2525.7928264626375,19632.235416666666
Greek World,1870,2504.6561250499412,16333.25
Greek World,1880,2719.7311955586424,19862.345454545455
Indian world,1600,1264.0,135000.0
Indian world,1650,1189.0,150000.0
Indian world,1700,1162.0,165000.0
Indian world,1750,1068.0,183333.33333333334
Indian world,1800,1033.0,202033.33333333334
Indian world,1810,983.0,205700.0
Indian world,1820,817.0985473105615,71645.33333333333
Indian world,1830,945.0,218453.0
Indian world,1840,944.0,227418.0
Indian world,1850,946.7764529424369,158216.33333333334
Indian world,1860,896.0,245110.0
Indian world,1870,1182.3284915772178,38842.0
Indian world,1880,1243.8333333333333,43649.769230769234
Italy,1450,2529.9916674026604,9961.0
Italy,1500,2549.0699455816502,10526.0
Italy,1550,2340.2687899560433,11826.0
Italy,1600,2542.710519521987,13102.0
Italy,1650,2396.4437201497344,13202.0
Italy,1700,2468.5172154925835,13357.3
Italy,1750,2485.4756849850187,16222.3
Italy,1800,2518.332719626612,19201.9
Italy,1810,2511.502224969936,19603.0
Italy,1820,2520.0671085519734,20276.590909090908
Italy,1830,2519.0393225221287,21516.333333333332
Italy,1840,2521.1270128952515,22944.090909090908
Italy,1850,2541.1795465816986,24463.11111111111
Italy,1860,2602.5395989063213,26101.636363636364
Italy,1870,2672.0588706739527,27880.555555555555
Italy,1880,2726.8333333333335,29585.272727272728
Japan,1000,1009.6500000000001,7500.0
Japan,1120,926.9700000000001,9396.0
Japan,1280,841.11,11924.0
Japan,1450,866.5500000000002,14610.0
Japan,1600,1061.0,18500.0
Japan,1700,1073.0,27000.0
Japan,1720,1073.25,27700.0
Japan,1750,953.0,28666.666666666668
Japan,1800,1316.76,30400.0
Japan,1820,1317.0,31000.0
Japan,1850,1435.885,31932.5
Japan,1870,1593.745,34836.0
Korea,1820,795.8364236063692,6870.0
Korea,1870,800.5078581585251,7132.0
Latin World,1000,1151.0,2000.0
Latin World,1250,1321.6666666666667,2982.652
Latin World,1260,1250.7272727272727,3009.8400000000006
Latin World,1270,1225.6666666666667,3048.6800000000003
Latin World,1280,1309.6120950421798,6560.337333333333
Latin World,1290,1279.5138483260987,6726.786666666666
Latin World,1300,1330.7001723118956,6815.066666666667
Latin World,1310,1384.2502562035945,6903.346666666666
Latin World,1320,1259.3547740194133,6991.626666666666
Latin World,1330,1376.8726343985736,7079.906666666667
Latin World,1340,1486.4509565152493,7168.1866666666665
Latin World,1350,1402.5687848568075,7256.466666666667
Latin World,1360,1581.1283691586214,7344.746666666666
Latin World,1370,1551.313446315825,7433.026666666667
Latin World,1380,1538.750278006759,7521.306666666666
Latin World,1390,1520.4661012789381,7609.586666666666
Latin World,1400,1542.4464754658081,7697.866666666667
Latin World,1410,1497.263982763414,7786.1466666666665
Latin World,1420,1516.8698884099285,7874.426666666666
Latin World,1430,1476.5154362561595,7962.706666666666
Latin World,1440,1402.5908476197676,8050.986666666667
Latin World,1450,1609.095301828944,8204.328571428572
Latin World,1460,1444.154778600968,8227.546666666665
Latin World,1470,1499.9400173997176,8315.826666666668
Latin World,1480,1422.0158624694313,8404.106666666667
Latin World,1490,1422.036435940711,8492.386666666667
Latin World,1500,1557.2782775692738,8984.53512195122
Latin World,1510,1606.2284899178028,9714.7
Latin World,1520,1542.7582127809612,9993.9
Latin World,1530,1496.5612835267252,9146.136585365854
Latin World,1540,1536.9224639004215,8649.84
Latin World,1550,1513.9403509698677,8781.063829787234
Latin World,1560,1464.1409940975554,9100.56
Latin World,1570,1461.7360748434176,9325.92
Latin World,1580,1467.3503183925268,9551.28
Latin World,1590,1391.2489216355546,9776.64
Latin World,1600,1499.8718318159597,9894.58245614035
Latin World,1610,1497.693346654146,10117.92
Latin World,1620,1514.5833514884055,10233.839999999998
Latin World,1630,1423.1078871491973,10349.76
Latin World,1640,1440.202947932686,10465.68
Latin World,1650,1535.2159991310527,10450.510638297872
Latin World,1660,1644.380678525979,10697.52
Latin World,1670,1781.5880796567367,10813.44
Latin World,1680,1691.0618743023197,10929.36
Latin World,1690,1714.0489322289477,11045.279999999999
Latin World,1700,1734.6212913540999,11105.085964912281
Latin World,1710,1669.8799952786944,11779.333333333334
Latin World,1720,1857.05053131629,12397.466666666665
Latin World,1730,1873.8683751380179,13015.6
Latin World,1740,1867.8480130939402,13633.733333333334
Latin World,1750,1905.7393804359688,14045.825531914894
Latin World,1760,1973.26603865249,14870.0
Latin World,1770,1915.8783927436623,15488.133333333333
Latin World,1780,2019.6941884159003,16106.266666666666
Latin World,1790,1992.3364207602126,16724.4
Latin World,1800,2056.132428937093,17497.480555555554
Latin World,1810,2176.52212625585,17963.552727272727
Latin World,1820,2205.687751369872,17856.077464788734
Latin World,1830,2344.350108069883,20263.036363636365
Latin World,1840,2532.3865401619837,21934.940298507463
Latin World,1850,2742.9061813757853,20393.015625
Latin World,1860,3043.429190717486,20199.662352941177
Latin World,1870,3242.2686517205566,17963.073033707864
Latin World,1880,3490.795784446948,19099.81818181818
Low countries,1350,1594.9834479246242,756.3000000000001
Low countries,1360,1744.125749473343,768.0
Low countries,1370,1924.638542285601,781.0
Low countries,1380,2038.8105655485333,794.0
Low countries,1390,2216.0823925529808,807.0
Low countries,1400,2027.2241127856098,820.0
Low countries,1410,1999.8019409784113,833.0
Low countries,1420,1918.6517582239505,846.0
Low countries,1430,2072.786690433749,859.0
Low countries,1440,2139.118457300275,872.0
Low countries,1450,2252.1291344820756,885.0
Low countries,1460,2310.8086209690487,898.0
Low countries,1470,2302.4361259655375,911.0
Low countries,1480,2271.349862258953,924.0
Low countries,1490,2252.1291344820756,937.0
Low countries,1500,2344.572602805849,992.75
Low countries,1510,2509.5068330362446,1005.0
Low countries,1520,2870.685464268352,1060.0
Low countries,1530,3026.0447613388787,1115.0
Low countries,1540,2657.5919624047965,1170.0
Low countries,1550,2643.807384875922,1252.5
Low countries,1560,3369.713174526008,1280.0
Low countries,1570,2811.447811447811,1335.0
Low countries,1580,3441.9056878949923,1390.0
Low countries,1590,3827.39156268568,1445.0
Low countries,1600,3845.0071248974127,1506.4583333333333
Low countries,1610,3621.806298276886,1540.0
Low countries,1620,3861.2866634257007,1580.0
Low countries,1630,3752.624282036046,1620.0
Low countries,1640,3946.362015880732,1660.0
Low countries,1650,3756.9034547152196,1710.0
Low countries,1660,3315.183924809593,1740.0
Low countries,1670,3336.2051891463652,1780.0
Low countries,1680,3378.2207097715113,1820.0
Low countries,1690,3783.2244008714592,1860.0
Low countries,1700,3671.1364571257614,1907.84375
Low countries,1710,4073.4798970093084,1936.0833333333333
Low countries,1720,3569.7617890131255,1972.1666666666665
Low countries,1730,3692.909487027134,2008.25
Low countries,1740,3598.6063847026408,2044.3333333333335
Low countries,1750,3983.6683922517022,2132.125
Low countries,1760,4059.06660184735,2116.5
Low countries,1770,4489.304812834224,2152.5833333333335
Low countries,1780,4347.5125587425055,2188.6666666666665
Low countries,1790,4145.771439889086,2224.75
Low countries,1800,4325.392967104197,2260.8333333333335
Low countries,1810,3267.107843137255,2549.16875
Low countries,1820,2937.376720210603,2463.8229166666665
Low countries,1830,3265.777777777778,2626.6666666666665
Low countries,1840,3543.181818181818,2887.2727272727275
Low countries,1850,3268.3540597969773,3779.5555555555557
Low countries,1860,3745.3628595071405,4040.4545454545455
Low countries,1870,4293.669774205442,4350.777777777777
Low countries,1880,4635.759818501795,4794.363636363636
Nordic countries,1300,1342.5,490.75
Nordic countries,1310,1362.0,493.0
Nordic countries,1320,1369.7272727272727,496.0
Nordic countries,1330,1618.7777777777778,499.0
Nordic countries,1340,1428.909090909091,502.0
Nordic countries,1350,1253.2222222222222,505.0
Nordic countries,1360,1320.090909090909,508.0
Nordic countries,1370,1646.4444444444443,511.0
Nordic countries,1380,1533.4545454545455,514.0
Nordic countries,1390,1487.4444444444443,517.0
Nordic countries,1400,1536.909090909091,520.0
Nordic countries,1410,1505.5555555555557,523.0
Nordic countries,1420,1441.909090909091,526.0
Nordic countries,1430,1402.3333333333333,529.0
Nordic countries,1440,1273.909090909091,532.0
Nordic countries,1450,1363.0,535.0
Nordic countries,1460,1827.3636363636363,538.0
Nordic countries,1470,1717.5555555555557,541.0
Nordic countries,1480,1496.8181818181818,544.0
Nordic countries,1490,1627.0,547.0
Nordic countries,1500,1613.2727272727273,552.4545454545455
Nordic countries,1510,2092.5555555555557,571.0
Nordic countries,1520,1946.3636363636363,592.0
Nordic countries,1530,1672.0,613.0
Nordic countries,1540,1458.3636363636363,634.0
Nordic countries,1550,1597.7777777777778,655.0
Nordic countries,1560,1588.090909090909,676.0
Nordic countries,1570,1616.4444444444443,697.0
Nordic countries,1580,1515.8181818181818,718.0
Nordic countries,1590,1440.6666666666667,739.0
Nordic countries,1600,1325.1724137931035,733.625
Nordic countries,1610,1488.3333333333333,810.0
Nordic countries,1620,1561.0,860.0
Nordic countries,1630,1502.3333333333333,910.0
Nordic countries,1640,1696.090909090909,960.0
Nordic countries,1650,1612.8573680063043,949.0
Nordic countries,1660,1756.2727272727273,1060.0
Nordic countries,1670,1751.888888888889,1110.0
Nordic countries,1680,1782.090909090909,1160.0
Nordic countries,1690,1844.0,1210.0
Nordic countries,1700,1793.9375684556408,1195.7604166666667
Nordic countries,1710,1918.888888888889,1369.4166666666667
Nordic countries,1720,1699.6363636363637,1478.8333333333333
Nordic countries,1730,1701.2222222222222,1588.25
Nordic countries,1740,1572.909090909091,1697.6666666666665
Nordic countries,1750,1472.1797633439573,1698.4166666666667
Nordic countries,1760,1508.1818181818182,1916.5
Nordic countries,1770,1462.0,2025.9166666666667
Nordic countries,1780,1538.909090909091,2135.333333333333
Nordic countries,1790,1550.5555555555557,2244.75
