,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita,inclusive,restricted
1718,1514,Low countries,2.269,500.08277173724787,438.67875796772125,565.1017375190684,32.6,14.238602175422354,192.63802654236093,219.6178814427075,248.18669666112626,re_low_countries,2796,1,1
1719,1515,Low countries,2.2775,521.7816802402951,458.05594172635324,589.2434651725904,36.0,15.672973077219778,200.3982017536566,228.2933654806709,257.8245534992288,re_low_countries,2931,1,1
1720,1516,Low countries,2.286,543.4805887433424,477.4331254849852,613.3851928261124,39.4,17.1073439790172,208.15837696495225,236.96884951863427,267.46241033733133,re_low_countries,2635,1,1
1721,1517,Low countries,2.2945,565.1794972463898,496.8103092436172,637.5269204796343,42.8,18.541714880814624,215.91855217624794,245.64433355659764,277.1002671754339,re_low_countries,2722,1,1
1722,1518,Low countries,2.3030000000000004,586.8784057494371,516.1874930022492,661.6686481331564,46.2,19.976085782612046,223.6787273875436,254.31981759456104,286.73812401353644,re_low_countries,2736,1,1
1723,1519,Low countries,2.3115,608.5773142524845,535.5646767608812,685.8103757866783,49.599999999999994,21.41045668440947,231.43890259883926,262.99530163252444,296.37598085163893,re_low_countries,2802,1,1
1724,1520,Low countries,2.3200000000000003,630.2762227555318,554.9418605195132,709.9521034402003,53.0,22.844827586206893,239.19907781013495,271.6707856704878,306.0138376897415,re_low_countries,3011,1,1
1725,1521,Low countries,2.3285000000000005,617.7794876995654,544.2714213883102,695.4656226775953,51.2,22.01564628288766,233.9169026365012,265.5144710201072,298.90880717707296,re_low_countries,3181,1,1
1726,1522,Low countries,2.337,605.2827526435991,533.600982257107,680.9791419149902,49.4,21.186464979568424,228.63472746286743,259.3581563697265,291.80377666440444,re_low_countries,2937,1,1
1727,1523,Low countries,2.3455000000000004,592.7860175876328,522.930543125904,666.4926611523853,47.6,20.35728367624919,223.3525522892337,253.20184171934585,284.6987461517359,re_low_countries,2895,1,1
1728,1524,Low countries,2.354,580.2892825316665,512.260103994701,652.0061803897803,45.8,19.528102372929958,218.07037711559994,247.0455270689652,277.5937156390674,re_low_countries,2938,1,1
1729,1525,Low countries,2.3625000000000003,567.7925474757001,501.589664863498,637.5196996271752,44.0,18.698921069610723,212.78820194196618,240.88921241858455,270.4886851263989,re_low_countries,2790,1,1
1730,1526,Low countries,2.3710000000000004,555.2958124197338,490.91922573229493,623.0332188645702,42.2,17.869739766291488,207.50602676833242,234.73289776820388,263.3836546137303,re_low_countries,2741,1,1
1731,1527,Low countries,2.3795,542.7990773637675,480.24878660109187,608.5467381019653,40.4,17.040558462972253,202.22385159469866,228.57658311782325,256.2786241010618,re_low_countries,2855,1,1
1732,1528,Low countries,2.3880000000000003,530.3023423078012,469.57834746988885,594.0602573393603,38.6,16.21137715965302,196.94167642106493,222.42026846744258,249.17359358839326,re_low_countries,2539,1,1
1733,1529,Low countries,2.3965,517.8056072518348,458.90790833868584,579.5737765767552,36.8,15.382195856333785,191.65950124743117,216.26395381706195,242.06856307572474,re_low_countries,3214,1,1
1734,1530,Low countries,2.4050000000000002,505.3088721958685,448.2374692074828,565.0872958141503,35.0,14.55301455301455,186.3773260737974,210.10763916668128,234.96353256305622,re_low_countries,3389,1,1
1735,1531,Low countries,2.4135000000000004,531.1340228854397,471.65121404004975,593.5578361052347,45.4,18.68004241498217,195.14420862839165,219.76195071553843,245.59540013907971,re_low_countries,3441,1,1
1736,1532,Low countries,2.422,556.9591735750107,495.0649588726167,622.0283763963191,55.8,22.807070276949794,203.91109118298593,229.4162622643956,256.2272677151032,re_low_countries,3223,1,1
1737,1533,Low countries,2.4305000000000003,582.7843242645819,518.4787037051838,650.4989166874036,66.2,26.934098138917413,212.67797373758017,239.07057381325276,266.8591352911267,re_low_countries,2835,1,1
1738,1534,Low countries,2.439,608.609474954153,541.8924485377507,678.9694569784881,76.6,31.061126000885032,221.44485629217445,248.72488536210994,277.49100286715014,re_low_countries,2998,1,1
1739,1535,Low countries,2.4475000000000002,634.4346256437241,565.3061933703177,707.4399972695726,87.0,35.18815386285265,230.2117388467687,258.3791969109671,288.1228704431736,re_low_countries,3111,1,1
1740,1536,Low countries,2.4560000000000004,660.2597763332952,588.7199382028847,735.910537560657,97.4,39.31518172482028,238.97862140136294,268.03350845982425,298.75473801919713,re_low_countries,3454,1,1
1741,1537,Low countries,2.4645,686.0849270228664,612.1336830354517,764.3810778517415,107.8,43.4422095867879,247.7455039559572,277.6878200086814,309.3866055952206,re_low_countries,2779,1,1
1742,1538,Low countries,2.4730000000000003,711.9100777124374,635.5474278680186,792.8516181428258,118.2,47.569237448755516,256.51238651055144,287.34213155753855,320.01847317124407,re_low_countries,2916,1,1
1743,1539,Low countries,2.4815,737.7352284020086,658.9611727005856,821.3221584339103,128.60000000000002,51.696265310723135,265.27926906514574,296.99644310639576,330.6503407472676,re_low_countries,2645,1,1
1744,1540,Low countries,2.49,763.5603790915798,682.3749175331526,849.7926987249948,139.0,55.82329317269076,274.04615161974,306.6507546552529,341.28220832329106,re_low_countries,2404,1,1
1745,1541,Low countries,2.4985000000000004,773.8474477973459,692.0353642205148,860.7223406826122,129.6,51.98853667095567,276.8931630366699,309.6334875838729,344.4001668424636,re_low_countries,2214,1,1
1746,1542,Low countries,2.507,784.1345165031121,701.695810907877,871.6519826402294,120.2,48.15378016922057,279.7401744535997,312.61622051249293,347.5181253616362,re_low_countries,2390,1,1
1747,1543,Low countries,2.5155000000000003,794.4215852088782,711.3562575952392,882.5816245978467,110.8,44.319023667485475,282.5871858705296,315.59895344111294,350.63608388080877,re_low_countries,2299,1,1
1748,1544,Low countries,2.524,804.7086539146444,721.0167042826014,893.5112665554641,101.4,40.48426716575038,285.4341972874595,318.58168636973295,353.7540423999813,re_low_countries,2426,1,1
1749,1545,Low countries,2.5325,814.9957226204106,730.6771509699636,904.4409085130815,92.0,36.64951066401528,288.2812087043893,321.56441929835296,356.87200091915383,re_low_countries,2595,1,1
1750,1546,Low countries,2.5410000000000004,825.2827913261768,740.3375976573259,915.3705504706987,82.6,32.81475416228019,291.1282201213192,324.5471522269729,359.9899594383264,re_low_countries,2191,1,1
1751,1547,Low countries,2.5495,835.569860031943,749.9980443446881,926.300192428316,73.2,28.97999766054509,293.9752315382491,327.5298851555929,363.107917957499,re_low_countries,2721,1,1
1752,1548,Low countries,2.5580000000000003,845.8569287377092,759.6584910320503,937.2298343859334,63.8,25.145241158809995,296.822242955179,330.51261808421293,366.22587647667154,re_low_countries,2615,1,1
1753,1549,Low countries,2.5665,856.1439974434753,769.3189377194125,948.1594763435508,54.39999999999999,21.310484657074902,299.6692543721088,333.49535101283294,369.3438349958441,re_low_countries,2667,1,1
1754,1550,Low countries,2.575,866.4310661492415,778.9793844067747,959.089118301168,45.0,17.475728155339805,302.5162657890387,336.47808394145295,372.46179351501667,re_low_countries,2884,1,1
1755,1551,Low countries,2.5835000000000004,856.3478582618532,770.3559663661583,947.4371880641711,50.4,19.44995985108402,298.3076919921127,331.61219236217073,366.8911711534097,re_low_countries,2633,1,1
1756,1552,Low countries,2.592,846.2646503744647,761.732548325542,935.7852578271742,55.8,21.424191546828233,294.0991181951867,326.7463007828885,361.3205487918027,re_low_countries,3045,1,1
1757,1553,Low countries,2.6005000000000003,836.1814424870764,753.1091302849258,924.1333275901773,61.2,23.39842324257245,289.8905443982607,321.8804092036063,355.7499264301957,re_low_countries,2558,1,1
1758,1554,Low countries,2.609,826.0982345996881,744.4857122443094,912.4813973531803,66.6,25.372654938316664,285.6819706013347,317.01451762432407,350.17930406858875,re_low_countries,2742,1,1
1759,1555,Low countries,2.6175,816.0150267122997,735.8622942036931,900.8294671161834,72.0,27.34688663406088,281.4733968044087,312.14862604504185,344.60868170698177,re_low_countries,3078,1,1
1760,1556,Low countries,2.6260000000000003,805.9318188249114,727.2388761630767,889.1775368791865,77.4,29.321118329805092,277.26482300748273,307.2827344657597,339.0380593453748,re_low_countries,3499,1,1
1761,1557,Low countries,2.6345,795.8486109375231,718.6154581224604,877.5256066421896,82.80000000000001,31.295350025549308,273.0562492105567,302.41684288647747,333.46743698376787,re_low_countries,3218,1,1
1762,1558,Low countries,2.6430000000000002,785.7654030501348,709.9920400818442,865.8736764051927,88.2,33.26958172129352,268.8476754136307,297.55095130719525,327.8968146221609,re_low_countries,3296,1,1
1763,1559,Low countries,2.6515,775.6821951627463,701.3686220412278,854.2217461681958,93.6,35.243813417037735,264.6391016167047,292.685059727913,322.3261922605539,re_low_countries,2940,1,1
1764,1560,Low countries,2.66,765.598987275358,692.7452040006115,842.5698159311988,99.0,37.21804511278195,260.4305278197787,287.8191681486308,316.75556989894693,re_low_countries,3084,1,1
1765,1561,Low countries,2.6685000000000003,766.7594679435849,694.1623056789658,843.3892611950555,93.9,35.24487448128518,260.14034282593036,287.3506864506212,316.0732467367304,re_low_countries,3457,1,1
1766,1562,Low countries,2.677,767.919948611812,695.5794073573201,844.2087064589122,88.8,33.2717038497884,259.85015783208195,286.8822047526116,315.39092357451386,re_low_countries,3827,1,1
1767,1563,Low countries,2.6855,769.0804292800389,696.9965090356744,845.0281517227688,83.7,31.298533218291627,259.5599728382336,286.4137230546019,314.70860041229736,re_low_countries,3490,1,1
1768,1564,Low countries,2.694,770.2409099482658,698.4136107140287,845.8475969866255,78.6,29.325362586794853,259.2697878443852,285.9452413565923,314.0262772500808,re_low_countries,3520,1,1
1769,1565,Low countries,2.7025,771.4013906164928,699.830712392383,846.6670422504822,73.5,27.35219195529808,258.9796028505368,285.4767596585827,313.3439540878643,re_low_countries,3656,1,1
1770,1566,Low countries,2.7110000000000003,772.5618712847197,701.2478140707374,847.4864875143389,68.4,25.379021323801304,258.68941785668846,285.0082779605731,312.6616309256478,re_low_countries,3085,1,1
1771,1567,Low countries,2.7195,773.7223519529466,702.6649157490916,848.3059327781956,63.300000000000004,23.40585069230453,258.39923286284005,284.53979626256347,311.9793077634312,re_low_countries,3965,1,1
1772,1568,Low countries,2.728,774.8828326211735,704.082017427446,849.1253780420523,58.2,21.432680060807755,258.1090478689917,284.0713145645538,311.2969846012147,re_low_countries,4091,1,1
1773,1569,Low countries,2.7365,776.0433132894005,705.4991191058002,849.9448233059089,53.1,19.45950942931098,257.8188628751433,283.6028328665442,310.61466143899816,re_low_countries,2434,1,1
1774,1570,Low countries,2.745,777.2037939576275,706.9162207841546,850.7642685697656,48.0,17.486338797814206,257.5286778812949,283.1343511685346,309.93233827678165,re_low_countries,2298,1,1
1775,1571,Low countries,2.7535000000000003,817.0514788064315,743.5594898513392,893.7124943906483,58.3,21.07339396396918,269.703333466169,296.364401650468,324.1774976214919,re_low_countries,2456,1,1
