,N_est,lower,upper,decade,region_name,model_type,count_cps
0,13.65050276571549,11.05336016296614,16.507705591461136,840,Central Europe,base_model,1
1,13.332710981797149,10.827922174959372,16.060341197471384,850,Central Europe,base_model,1
2,10.34222753069389,8.565958591084973,12.15839559091668,960,Central Europe,base_model,1
3,9.519097082688592,7.928301499519466,11.160588100220156,1040,Central Europe,base_model,1
4,9.587188504102903,8.077551681937342,11.120895571534712,1080,Central Europe,base_model,1
5,10.843868619035412,9.459775824617184,12.26627209557244,1180,Central Europe,base_model,1
6,11.260525931434579,9.852002458756608,12.7072290385294,1200,Central Europe,base_model,1
7,36.70964585632652,32.156722609319765,41.41291771133163,1240,Central Europe,base_model,3
8,24.573376985561914,21.374661341285407,27.914439761038917,1260,Central Europe,base_model,2
9,13.074606384267273,11.431594962354161,14.815760810235417,1270,Central Europe,base_model,1
10,26.739603556950776,23.32606425135636,30.29095987843686,1280,Central Europe,base_model,2
11,26.342344264524975,22.839859543691023,30.03533642060593,1290,Central Europe,base_model,2
12,81.86501167073702,71.14535643280624,93.26784290443187,1300,Central Europe,base_model,6
13,28.575233870384942,24.920236263937145,32.4456445444865,1310,Central Europe,base_model,2
14,42.802640914697186,37.22586655557799,48.7281754301513,1320,Central Europe,base_model,3
15,15.234783904093085,13.319615508286763,17.251212326710636,1340,Central Europe,base_model,1
16,63.49929511870345,55.70628351464273,71.74845461650798,1360,Central Europe,base_model,4
17,16.19565070247974,14.217071996901103,18.252669768185502,1370,Central Europe,base_model,1
18,263.2584900662301,231.51823851158267,296.4809462586093,1380,Central Europe,base_model,16
19,33.6713011660961,29.687192312094577,37.82167439776457,1390,Central Europe,base_model,2
20,271.45457749926095,239.4032874218213,304.73175951854466,1400,Central Europe,base_model,16
21,68.87469903733151,60.867031716751896,77.18467987019493,1410,Central Europe,base_model,4
22,123.46448104981341,109.42949985311552,137.99098586347128,1420,Central Europe,base_model,7
23,106.53079669414679,94.44526324702723,119.0225141328323,1430,Central Europe,base_model,6
24,311.6516166412053,277.3721622764327,347.33328968434085,1440,Central Europe,base_model,17
25,18.688135797078115,16.669765869329016,20.78160631554408,1450,Central Europe,base_model,1
26,130.84669588398162,116.78904626692591,145.42252481144115,1460,Central Europe,base_model,7
27,134.82116158898017,120.81855525587714,149.3696391150978,1470,Central Europe,base_model,7
28,716.7322550026703,642.0556424791574,793.1711863502288,1480,Central Europe,base_model,37
29,117.77870834201634,105.62990395424349,130.29943715529245,1490,Central Europe,base_model,6
30,278.6792410956381,249.90951708512176,308.0005828971096,1500,Central Europe,base_model,14
31,181.59549843182324,162.82549955142275,200.57102437270837,1510,Central Europe,base_model,9
32,777.5675722114872,697.5290405326631,858.3050822602307,1520,Central Europe,base_model,38
33,513.175491594785,459.947289032366,566.2387513284536,1530,Central Europe,base_model,25
34,1397.8743265497842,1254.0517244341765,1541.0689734609418,1540,Central Europe,base_model,67
35,336.65174227752686,302.0765764801824,371.3994448887297,1550,Central Europe,base_model,16
36,1733.7390021108245,1556.1539743202104,1912.9076033200934,1560,Central Europe,base_model,82
37,1298.8899753611643,1165.178409136199,1433.0837753290316,1570,Central Europe,base_model,61
38,2105.032796352148,1888.959571617465,2321.43483010417,1580,Central Europe,base_model,98
39,710.8839970533936,638.6685219967633,783.3323033809739,1590,Central Europe,base_model,33
40,1883.0131015269972,1692.4555284038609,2072.0743899694444,1600,Central Europe,base_model,87
41,1170.5936876881888,1052.698021722656,1288.3919869112185,1610,Central Europe,base_model,54
42,1608.653470748421,1449.554926451275,1768.547869349119,1620,Central Europe,base_model,74
43,1174.3739889470485,1059.2230890558014,1290.1626391056259,1630,Central Europe,base_model,54
44,1785.1153135603743,1612.1409456624658,1959.7846781970575,1640,Central Europe,base_model,82
45,892.7089665318748,806.1671883102823,979.4655073803849,1650,Central Europe,base_model,41
46,2014.7828579548932,1820.7631335709505,2211.39456347813,1660,Central Europe,base_model,93
47,1295.5962842308836,1170.0927870971211,1421.14130657691,1670,Central Europe,base_model,60
48,2567.845176982259,2320.6233654468474,2817.8294176856034,1680,Central Europe,base_model,119
49,1592.1828800311537,1439.6427670149626,1746.8342041449127,1690,Central Europe,base_model,74
50,2036.0026996691565,1841.113711028014,2235.8524129986376,1700,Central Europe,base_model,95
51,1788.742625936069,1617.1504119964136,1963.8163974274642,1710,Central Europe,base_model,84
52,2565.8614272789814,2321.0314675720265,2815.3847440584645,1720,Central Europe,base_model,121
53,2157.4185652400342,1952.10735053829,2366.7607919597176,1730,Central Europe,base_model,102
54,3254.62328985562,2943.873661037024,3570.5010082833314,1740,Central Europe,base_model,155
55,3194.8595087568765,2891.871816390335,3505.428308182908,1750,Central Europe,base_model,153
56,3659.1819569553,3315.0895667876807,4011.924620784271,1760,Central Europe,base_model,176
57,3959.975766065343,3586.0294805856543,4342.462043199067,1770,Central Europe,base_model,192
58,4761.595266963106,4316.994278979846,5220.108966122604,1780,Central Europe,base_model,232
59,4997.263009613335,4531.343873451087,5475.589659641147,1790,Central Europe,base_model,245
60,6774.308291196067,6151.814036108687,7420.641619223949,1800,Central Europe,base_model,334
61,5525.4830858644455,5017.650768183648,6047.890545211417,1810,Central Europe,base_model,274
62,8831.560906143262,8025.097927179227,9672.43384585073,1820,Central Europe,base_model,440
63,8901.743369077969,8096.846128813095,9735.955348762445,1830,Central Europe,base_model,445
64,14694.779788695923,13351.145098348552,16083.073325175828,1840,Central Europe,base_model,738
65,14608.147385176779,13268.586991580445,15982.661204071355,1850,Central Europe,base_model,736
66,19136.360443782647,17325.072049573715,21012.9915637707,1860,Central Europe,base_model,967
67,4.253634411855442,1.4633284385840164,7.481253687004077,-820,Eastern Europe,base_model,1
68,11.542863711375007,4.3135853883277795,20.500362847307816,-800,Eastern Europe,base_model,3
69,6.032108428775938,3.1484601357916615,9.672916902377496,-700,Eastern Europe,base_model,1
70,11.871368695383563,5.761302814067128,19.623813470559497,-680,Eastern Europe,base_model,2
71,20.321851771139524,10.939569866568924,31.929966660442595,-660,Eastern Europe,base_model,3
72,44.42937885575857,27.744263191646134,63.94931772887519,-600,Eastern Europe,base_model,6
73,29.57977877339682,20.629638822107292,39.539086917792716,-560,Eastern Europe,base_model,4
74,7.811737501375349,5.89963450534712,9.89578038385083,-530,Eastern Europe,base_model,1
75,132.78405887118842,101.6657310011715,166.52372642782234,-520,Eastern Europe,base_model,17
76,172.77330956402793,134.43239520699706,213.8452900481261,-500,Eastern Europe,base_model,22
77,8.051153244097891,6.328725385475605,9.917774001231635,-490,Eastern Europe,base_model,1
78,212.0327967885595,167.50648184893024,261.13709803324394,-460,Eastern Europe,base_model,26
79,23.86778181169927,18.71980344960428,29.537303075210907,-450,Eastern Europe,base_model,3
80,8.344492627846048,6.635297532500931,10.227780522563634,-440,Eastern Europe,base_model,1
81,33.59074219901206,26.751168893152652,41.03849333713624,-430,Eastern Europe,base_model,4
82,259.91666440530594,206.95771220679734,317.3636053392407,-420,Eastern Europe,base_model,31
83,49.99039447884328,39.731104252511436,61.11040771475437,-410,Eastern Europe,base_model,6
84,186.02036045086155,148.71131364186564,225.94473273521004,-400,Eastern Europe,base_model,22
85,17.18640021371812,13.811592668747167,20.798142521959097,-390,Eastern Europe,base_model,2
86,16.27846810025999,12.925934393231824,19.879284502227087,-380,Eastern Europe,base_model,2
87,199.8025923392623,161.87950622064315,240.93661341925522,-360,Eastern Europe,base_model,23
88,25.3299044546273,20.386551116236053,30.59693734620683,-350,Eastern Europe,base_model,3
89,25.47057396597304,20.532116035458976,30.800274190586826,-340,Eastern Europe,base_model,3
90,17.743138430756183,14.444987095867313,21.27930781369187,-330,Eastern Europe,base_model,2
91,149.65839680013596,121.16536931739356,180.16551758754142,-320,Eastern Europe,base_model,17
92,17.94466313078546,14.52462813720391,21.63314379524978,-310,Eastern Europe,base_model,2
93,116.33195041108154,93.60529661833708,140.78314304329257,-300,Eastern Europe,base_model,13
94,27.242563237992925,21.864888098752346,32.986612466968396,-290,Eastern Europe,base_model,3
95,27.415194302756824,21.812092474836728,33.29789669392986,-280,Eastern Europe,base_model,3
96,9.19821755074135,7.279521446735758,11.20569860170396,-270,Eastern Europe,base_model,1
97,55.56186927517468,43.76180258565041,67.95254797512807,-260,Eastern Europe,base_model,6
98,36.564327340323814,28.294401540625653,45.58648926173676,-240,Eastern Europe,base_model,4
99,85.76877009278127,66.08203515370619,107.2028937119777,-220,Eastern Europe,base_model,9
100,57.0529465630367,43.334067384469265,72.1981481756468,-200,Eastern Europe,base_model,6
