,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
"y ~ (bs(decade, knots=iknots, intercept=True)|region_name) + occupation",0,-336.7594864399129,34.1717290202194,0.0,0.765890336497103,27.550404385625438,0.0,True,log
"y ~ (bs(decade, knots=iknots, intercept=True)|region_name)) + (1|occupation)",1,-349.740821144369,27.907564540959413,12.981334704456124,0.0,28.068429399795345,6.576798128176416,True,log
"y ~ 1 + (bs(decade, knots=iknots, intercept=True)|region_name)",2,-350.61656938972203,28.102035634583785,13.85708294980913,0.0,28.10390741266184,6.565475119187286,True,log
y ~ 1,3,-352.63523035058125,1.012834637271908,15.875743910668302,0.23410966350289697,28.120209705646793,8.119892258994046,False,log
