,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
category-model,0,-5720.022317776837,20.066277518060815,0.0,0.6916620036274682,32.8911757865043,0.0,False,log
base-model,1,-5724.274427186785,15.227934498692775,4.252109409948847,0.3083379963725318,32.592859927708446,4.710167472982805,False,log
