,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita
0,1,Arabic world,10.204916666666666,9.015606696552164,5.488336733619564,12.675464258438677,1.2,0.11750596653003831,0.5376080678207691,0.8831221988648164,1.2416241176434855,1116
1,730,Arabic world,14.511666666666667,50.150489185109855,34.52859540411495,68.33847436807727,6.0,0.41346043413345585,2.3793680076339694,3.4558738384134506,4.709209213373879,1164
2,1000,Arabic world,14.416666666666668,113.75869907262516,84.47932539981682,147.0033923118382,17.0,1.1791907514450866,5.859837599987293,7.890776814286138,10.196767096774904,956
3,1120,Arabic world,13.791666666666668,70.53177165605925,55.99850082368801,86.68171322903217,9.0,0.6525679758308156,4.060314259119372,5.1140861623728755,6.2850789048240845,1052
4,1280,Arabic world,12.791666666666668,53.60481431223768,41.27301453883207,67.65962481308975,6.0,0.4690553745928338,3.226554882514559,4.190604376200991,5.289351776919068,1068
5,1300,Arabic world,12.666666666666668,94.49418648356368,72.61808813016678,119.36476937563523,15.0,1.1842105263157894,5.733006957644745,7.460067353965553,9.423534424392255,972
6,1400,Arabic world,12.208333333333332,64.48959260468709,48.04798767785271,82.53378561297943,7.0,0.5733788395904438,3.9356713456261607,5.282423967619421,6.760446603110943,1164
7,1500,Arabic world,11.75,24.14634077305124,17.19488082618298,31.860088083216827,2.0,0.1702127659574468,1.4633941128666368,2.055007725366063,2.7114968581461127,1084
8,1820,Arabic world,15.25,504.604476295618,368.98990672970143,655.6432415454755,22.0,1.4426229508196722,24.19605945768534,33.08881811774544,42.99299944560495,956
9,1,Balkans,4.00275,44.264958220910636,25.522334425153556,63.69936138853257,2.0,0.49966767371601206,6.37699264339231,11.05984754336123,15.915588475990457,1275
10,1833,Balkans,10.65,2800.0479868960065,2189.6011122956993,3495.2144531201725,134.6,12.587878787878788,204.64656865517279,261.61227196071445,326.4728719697325,1537
11,1834,Balkans,10.7,2956.527269142815,2304.3567206155876,3700.4145520247102,140.8,13.101298701298703,214.28005067241975,274.82873911728336,343.88084020070494,1635
12,1835,Balkans,10.75,3113.0065513896234,2419.1123289354764,3905.6146509292485,147.0,13.614718614718615,223.91353268966674,288.04520627385233,361.28880843167747,2138
13,1836,Balkans,10.8,3269.4858336364323,2533.8679372553643,4110.814749833786,153.2,14.128138528138528,233.54701470691373,301.26167343042124,378.6967766626499,2067
14,1837,Balkans,10.85,3425.965115883241,2648.623545575253,4316.014848738324,159.4,14.641558441558441,243.18049672416072,314.4781405869902,396.10474489362235,2120
