,region_name,decade,cultural_score,log_cultural_score
0,Arabian peninsula,440,1,0.6931471805599453
1,Arabian peninsula,500,1,0.6931471805599453
2,Arabian peninsula,520,2,1.0986122886681098
3,Arabian peninsula,530,1,0.6931471805599453
4,Arabian peninsula,540,3,1.3862943611198906
5,Arabian peninsula,550,2,1.0986122886681098
6,Arabian peninsula,570,1,0.6931471805599453
7,Arabian peninsula,580,1,0.6931471805599453
8,Arabian peninsula,600,3,1.3862943611198906
9,Arabian peninsula,640,2,1.0986122886681098
10,Arabian peninsula,650,1,0.6931471805599453
11,Arabian peninsula,660,3,1.3862943611198906
12,Arabian peninsula,680,1,0.6931471805599453
13,Arabian peninsula,700,3,1.3862943611198906
14,Arabian peninsula,710,1,0.6931471805599453
15,Arabian peninsula,720,1,0.6931471805599453
16,Arabian peninsula,800,1,0.6931471805599453
17,Arabian peninsula,830,1,0.6931471805599453
18,Arabian peninsula,840,1,0.6931471805599453
19,Arabian peninsula,850,1,0.6931471805599453
20,Arabian peninsula,1190,1,0.6931471805599453
21,Arabian peninsula,1220,1,0.6931471805599453
22,Arabian peninsula,1230,1,0.6931471805599453
23,Arabian peninsula,1270,1,0.6931471805599453
24,Arabian peninsula,1370,3,1.3862943611198906
25,Arabian peninsula,1630,1,0.6931471805599453
26,Arabian peninsula,1740,1,0.6931471805599453
27,Arabian peninsula,1750,2,1.0986122886681098
28,Arabian peninsula,1760,1,0.6931471805599453
29,Arabian peninsula,1800,1,0.6931471805599453
30,Arabian peninsula,1820,1,0.6931471805599453
31,Arabic world,-550,1,0.6931471805599453
32,Arabic world,-400,1,0.6931471805599453
33,Arabic world,-300,2,1.0986122886681098
34,Arabic world,-290,1,0.6931471805599453
35,Arabic world,-280,1,0.6931471805599453
36,Arabic world,-250,1,0.6931471805599453
37,Arabic world,-200,1,0.6931471805599453
38,Arabic world,-180,1,0.6931471805599453
39,Arabic world,-170,1,0.6931471805599453
40,Arabic world,-150,1,0.6931471805599453
41,Arabic world,-100,2,1.0986122886681098
42,Arabic world,-60,2,1.0986122886681098
43,Arabic world,-10,1,0.6931471805599453
44,Arabic world,10,2,1.0986122886681098
45,Arabic world,20,1,0.6931471805599453
46,Arabic world,40,1,0.6931471805599453
47,Arabic world,50,3,1.3862943611198906
48,Arabic world,60,1,0.6931471805599453
49,Arabic world,70,1,0.6931471805599453
50,Arabic world,100,6,1.9459101490553132
51,Arabic world,120,1,0.6931471805599453
52,Arabic world,160,2,1.0986122886681098
53,Arabic world,170,1,0.6931471805599453
54,Arabic world,180,1,0.6931471805599453
55,Arabic world,200,4,1.6094379124341003
56,Arabic world,210,1,0.6931471805599453
57,Arabic world,220,1,0.6931471805599453
58,Arabic world,230,1,0.6931471805599453
59,Arabic world,240,1,0.6931471805599453
60,Arabic world,250,2,1.0986122886681098
61,Arabic world,260,1,0.6931471805599453
62,Arabic world,280,1,0.6931471805599453
63,Arabic world,300,4,1.6094379124341003
64,Arabic world,310,2,1.0986122886681098
65,Arabic world,350,2,1.0986122886681098
66,Arabic world,360,1,0.6931471805599453
67,Arabic world,370,2,1.0986122886681098
68,Arabic world,440,2,1.0986122886681098
69,Arabic world,500,1,0.6931471805599453
70,Arabic world,520,2,1.0986122886681098
71,Arabic world,530,1,0.6931471805599453
72,Arabic world,540,3,1.3862943611198906
73,Arabic world,550,2,1.0986122886681098
74,Arabic world,570,1,0.6931471805599453
75,Arabic world,580,1,0.6931471805599453
76,Arabic world,600,4,1.6094379124341003
77,Arabic world,640,4,1.6094379124341003
78,Arabic world,650,1,0.6931471805599453
79,Arabic world,660,5,1.791759469228055
80,Arabic world,680,2,1.0986122886681098
81,Arabic world,700,5,1.791759469228055
82,Arabic world,710,4,1.6094379124341003
83,Arabic world,720,2,1.0986122886681098
84,Arabic world,730,4,1.6094379124341003
85,Arabic world,740,2,1.0986122886681098
86,Arabic world,750,3,1.3862943611198906
87,Arabic world,760,3,1.3862943611198906
88,Arabic world,780,9,2.302585092994046
89,Arabic world,790,2,1.0986122886681098
90,Arabic world,800,6,1.9459101490553132
91,Arabic world,810,1,0.6931471805599453
92,Arabic world,820,4,1.6094379124341003
93,Arabic world,830,4,1.6094379124341003
94,Arabic world,840,3,1.3862943611198906
95,Arabic world,850,1,0.6931471805599453
96,Arabic world,860,5,1.791759469228055
97,Arabic world,870,2,1.0986122886681098
98,Arabic world,880,3,1.3862943611198906
99,Arabic world,890,1,0.6931471805599453
100,Arabic world,900,3,1.3862943611198906
101,Arabic world,910,2,1.0986122886681098
102,Arabic world,920,5,1.791759469228055
103,Arabic world,930,1,0.6931471805599453
104,Arabic world,940,5,1.791759469228055
105,Arabic world,950,4,1.6094379124341003
106,Arabic world,960,2,1.0986122886681098
107,Arabic world,970,4,1.6094379124341003
108,Arabic world,980,6,1.9459101490553132
109,Arabic world,990,4,1.6094379124341003
110,Arabic world,1000,6,1.9459101490553132
111,Arabic world,1010,2,1.0986122886681098
112,Arabic world,1020,3,1.3862943611198906
113,Arabic world,1030,4,1.6094379124341003
114,Arabic world,1050,2,1.0986122886681098
115,Arabic world,1060,3,1.3862943611198906
116,Arabic world,1070,3,1.3862943611198906
117,Arabic world,1080,3,1.3862943611198906
118,Arabic world,1090,1,0.6931471805599453
119,Arabic world,1100,4,1.6094379124341003
120,Arabic world,1110,3,1.3862943611198906
121,Arabic world,1120,5,1.791759469228055
122,Arabic world,1130,4,1.6094379124341003
123,Arabic world,1140,5,1.791759469228055
124,Arabic world,1150,3,1.3862943611198906
125,Arabic world,1160,6,1.9459101490553132
126,Arabic world,1170,3,1.3862943611198906
127,Arabic world,1180,8,2.1972245773362196
128,Arabic world,1190,8,2.1972245773362196
129,Arabic world,1200,5,1.791759469228055
130,Arabic world,1210,9,2.302585092994046
131,Arabic world,1220,3,1.3862943611198906
132,Arabic world,1230,7,2.0794415416798357
133,Arabic world,1240,3,1.3862943611198906
134,Arabic world,1250,4,1.6094379124341003
135,Arabic world,1260,6,1.9459101490553132
136,Arabic world,1270,6,1.9459101490553132
137,Arabic world,1280,4,1.6094379124341003
138,Arabic world,1290,5,1.791759469228055
139,Arabic world,1300,8,2.1972245773362196
140,Arabic world,1310,2,1.0986122886681098
141,Arabic world,1320,2,1.0986122886681098
142,Arabic world,1330,4,1.6094379124341003
143,Arabic world,1340,2,1.0986122886681098
144,Arabic world,1350,3,1.3862943611198906
145,Arabic world,1360,2,1.0986122886681098
146,Arabic world,1370,5,1.791759469228055
147,Arabic world,1380,2,1.0986122886681098
148,Arabic world,1390,5,1.791759469228055
149,Arabic world,1400,2,1.0986122886681098
150,Arabic world,1410,2,1.0986122886681098
151,Arabic world,1430,3,1.3862943611198906
152,Arabic world,1440,5,1.791759469228055
153,Arabic world,1450,3,1.3862943611198906
154,Arabic world,1460,1,0.6931471805599453
155,Arabic world,1470,1,0.6931471805599453
156,Arabic world,1490,1,0.6931471805599453
157,Arabic world,1500,1,0.6931471805599453
158,Arabic world,1530,1,0.6931471805599453
159,Arabic world,1550,2,1.0986122886681098
160,Arabic world,1560,2,1.0986122886681098
161,Arabic world,1570,3,1.3862943611198906
162,Arabic world,1580,3,1.3862943611198906
163,Arabic world,1620,2,1.0986122886681098
164,Arabic world,1630,2,1.0986122886681098
165,Arabic world,1640,1,0.6931471805599453
166,Arabic world,1650,1,0.6931471805599453
167,Arabic world,1670,1,0.6931471805599453
168,Arabic world,1690,2,1.0986122886681098
169,Arabic world,1700,1,0.6931471805599453
170,Arabic world,1720,1,0.6931471805599453
171,Arabic world,1730,2,1.0986122886681098
172,Arabic world,1740,1,0.6931471805599453
173,Arabic world,1750,3,1.3862943611198906
174,Arabic world,1760,3,1.3862943611198906
175,Arabic world,1770,1,0.6931471805599453
176,Arabic world,1780,3,1.3862943611198906
177,Arabic world,1800,4,1.6094379124341003
178,Arabic world,1810,2,1.0986122886681098
179,Arabic world,1820,2,1.0986122886681098
180,Arabic world,1830,2,1.0986122886681098
181,Arabic world,1840,14,2.70805020110221
182,Arabic world,1850,8,2.1972245773362196
183,Austria,1110,1,0.6931471805599453
184,Austria,1170,1,0.6931471805599453
185,Austria,1200,3,1.3862943611198906
186,Austria,1300,2,1.0986122886681098
187,Austria,1400,2,1.0986122886681098
188,Austria,1420,4,1.6094379124341003
189,Austria,1430,1,0.6931471805599453
