,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita
1283,1566,Italy,11.32,2930.9370772102043,2685.4858758189116,3197.634412550412,231.8,20.49248120300752,237.39467839505625,259.0934907588337,282.67024418592484,2573
1284,1567,Italy,11.34,2889.0898498002507,2647.419504478369,3151.7581540290817,228.1,20.1281328320802,233.59908753437864,254.92424455093206,278.1020116145553,2734
1285,1568,Italy,11.36,2847.2426223902976,2609.353133137827,3105.881895507752,224.4,19.763784461152884,229.80349667370103,250.75499834303048,273.53377904318575,2588
1286,1569,Italy,11.38,2805.3953949803445,2571.2867617972847,3060.005636986422,220.7,19.399436090225564,226.00790581302346,246.58575213512887,268.9655464718162,2419
1287,1570,Italy,11.4,2763.548167570391,2533.2203904567427,3014.129378465092,217.0,19.035087719298247,222.21231495234585,242.41650592722726,264.39731390044665,2573
1288,1571,Italy,11.42,2892.635021277843,2652.1738867001277,3154.123219100434,226.0,19.778130671506354,232.08380201651295,253.12672347799517,276.0098910002167,2511
1289,1572,Italy,11.44,3021.721874985295,2771.127382943513,3294.1170597357764,235.0,20.52117362371446,241.95528908068005,263.8369410287631,287.62246809998686,2542
1290,1573,Italy,11.46,3150.808728692747,2890.0808791868985,3434.1109003711185,244.0,21.264216575922568,251.82677614484714,274.54715857953096,299.235045199757,2634
1291,1574,Italy,11.48,3279.8955824001996,3009.0343754302835,3574.1047410064602,253.0,22.00725952813067,261.6982632090142,285.25737613029884,310.8476222995271,2619
1292,1575,Italy,11.5,3408.9824361076517,3127.9878716736685,3714.0985816418024,262.0,22.750302480338778,271.56975027318134,295.9675936810668,322.46019939929715,2542
1293,1576,Italy,11.52,3538.0692898151037,3246.941367917054,3854.0924222771446,271.0,23.493345432546885,281.4412373373484,306.67781123183465,334.0727764990673,2627
1294,1577,Italy,11.54,3667.156143522556,3365.8948641604393,3994.0862629124867,280.0,24.236388384754992,291.31272440151554,317.38802878260253,345.6853535988374,2588
1295,1578,Italy,11.56,3796.242997230008,3484.8483604038242,4134.080103547829,289.0,24.979431336963096,301.1842114656826,328.0982463333704,357.2979306986075,2542
1296,1579,Italy,11.58,3925.32985093746,3603.801856647209,4274.073944183171,298.0,25.722474289171203,311.0556985298497,338.80846388413835,368.9105077983776,2442
1297,1580,Italy,11.6,4054.416704644912,3722.7553528905946,4414.067784818513,307.0,26.46551724137931,320.9271855940168,349.5186814349062,380.5230848981477,2458
1298,1581,Italy,11.62,3939.756772400741,3617.8888974598385,4288.509715810384,297.5,25.615575686732903,311.4962534632849,339.20933347957833,369.2376161942416,2519
1299,1582,Italy,11.64,3825.0968401565697,3513.022442029082,4162.951646802254,288.0,24.765634132086497,302.06532133255297,328.8999855242504,357.95214749033545,2527
1300,1583,Italy,11.66,3710.436907912398,3408.155986598326,4037.3935777941247,278.5,23.91569257744009,292.634389201821,318.5906375689225,346.6666787864293,2573
1301,1584,Italy,11.68,3595.776975668227,3303.2895311675697,3911.8355087859954,269.0,23.065751022793687,283.20345707108913,308.28128961359454,335.3812100825231,2527
1302,1585,Italy,11.7,3481.1170434240557,3198.423075736813,3786.2774397778658,259.5,22.21580946814728,273.77252494035724,297.97194165826664,324.095741378617,2481
1303,1586,Italy,11.72,3366.4571111798846,3093.556620306057,3660.719370769736,250.0,21.365867913500875,264.3415928096253,287.6625937029387,312.81027267471086,2496
1304,1587,Italy,11.74,3251.7971789357134,2988.690164875301,3535.161301761607,240.5,20.51592635885447,254.91066067889338,277.3532457476108,301.5248039708047,2535
1305,1588,Italy,11.76,3137.137246691542,2883.823709444545,3409.603232753477,231.0,19.665984804208065,245.47972854816146,267.0438977922829,290.2393352668986,2542
1306,1589,Italy,11.780000000000001,3022.477314447371,2778.9572540137883,3284.045163745348,221.5,18.81604324956166,236.04879641742954,256.73454983695495,278.9538665629924,2481
1307,1590,Italy,11.8,2907.8173822031995,2674.090798583032,3158.4870947372183,212.0,17.966101694915253,226.61786428669762,246.42520188162706,267.66839785908627,2396
1308,1591,Italy,11.82,3180.0665834320876,2924.49292581939,3453.579508983456,226.9,19.17782485875706,247.10701178258296,268.701926647565,291.8133183831743,2327
1309,1592,Italy,11.84,3452.3157846609756,3174.8950530557477,3748.6719232296937,241.8,20.38954802259887,267.5961592784683,290.978651413503,315.9582389072623,2350
1310,1593,Italy,11.860000000000001,3724.5649858898637,3425.2971802921056,4043.764337475932,256.7,21.601271186440677,288.0853067743536,313.255376179441,340.10315943135026,2465
