,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,gdp_per_capita
2725,1506,United Kingdom,4.292,153.74331833939286,124.58293665388503,185.71314808004837,11.5,2.6642369020501135,28.841284326084995,35.5967979289914,43.003380777156494,1776
2726,1507,United Kingdom,4.299,161.10503735218725,130.67196090075785,194.46347291381193,12.0,2.7749430523917993,30.19527127562277,37.23261702450461,44.946642315409356,1740
2727,1508,United Kingdom,4.306,168.46675636498168,136.7609851476307,203.21379774757548,12.5,2.885649202733485,31.549258225160543,38.86843612001783,46.889903853662226,1760
2728,1509,United Kingdom,4.313000000000001,175.82847537777604,142.85000939450353,211.96412258133907,13.0,2.9963553530751703,32.90324517469831,40.504255215531046,48.83316539191509,1837
2729,1510,United Kingdom,4.32,183.19019439057047,148.93903364137637,220.71444741510263,13.5,3.107061503416856,34.25723212423609,42.14007431104426,50.77642693016796,1768
2730,1511,United Kingdom,4.327,190.55191340336486,155.0280578882492,229.4647722488662,14.0,3.217767653758542,35.61121907377387,43.77589340655747,52.71968846842083,1799
2731,1512,United Kingdom,4.3340000000000005,197.91363241615926,161.11708213512205,238.21509708262977,14.5,3.328473804100227,36.96520602331164,45.41171250207069,54.6629500066737,1715
2732,1513,United Kingdom,4.341,205.27535142895368,167.20610638199489,246.96542191639332,15.0,3.439179954441913,38.31919297284941,47.047531597583905,56.606211544926566,1785
2733,1514,United Kingdom,4.348000000000001,212.63707044174805,173.2951306288677,255.71574675015688,15.5,3.5498861047835986,39.673179922387185,48.683350693097125,58.54947308317943,1777
2734,1515,United Kingdom,4.355,219.99878945454248,179.38415487574053,264.46607158392044,16.0,3.660592255125284,41.02716687192496,50.31916978861034,60.4927346214323,1820
2735,1516,United Kingdom,4.362,227.36050846733687,185.47317912261337,273.216396417684,16.5,3.7712984054669696,42.38115382146273,51.95498888412355,62.43599615968516,1800
2736,1517,United Kingdom,4.369000000000001,234.72222748013127,191.5622033694862,281.96672125144755,17.0,3.8820045558086553,43.7351407710005,53.590807979636764,64.37925769793803,1800
2737,1518,United Kingdom,4.376,242.08394649292566,197.65122761635905,290.71704608521117,17.5,3.9927107061503406,45.08912772053828,55.22662707514998,66.3225192361909,1805
2738,1519,United Kingdom,4.383000000000001,249.4456655057201,203.7402518632319,299.4673709189747,18.0,4.103416856492027,46.443114670076056,56.8624461706632,68.26578077444377,1784
2739,1520,United Kingdom,4.390000000000001,256.8073845185145,209.82927611010473,308.2176957527383,18.5,4.214123006833712,47.79710161961383,58.49826526617641,70.20904231269664,1755
2740,1521,United Kingdom,4.397,274.27776121113646,224.43236654017628,328.7898698103231,19.725,4.478030543026243,50.946883235228455,62.264465892171714,74.64187029534476,1791
2741,1522,United Kingdom,4.404000000000001,291.7481379037584,239.03545697024785,349.362043867908,20.95,4.741938079218773,54.096664850843084,66.03066651816702,79.07469827799288,1818
2742,1523,United Kingdom,4.4110000000000005,309.2185145963804,253.6385474003194,369.9342179254929,22.175,5.005845615411304,57.24644646645771,69.79686714416232,83.507526260641,1847
2743,1524,United Kingdom,4.418,326.68889128900236,268.24163783039097,390.5063919830777,23.4,5.269753151603835,60.396228082072334,73.56306777015763,87.94035424328912,1866
2744,1525,United Kingdom,4.425000000000001,344.15926798162434,282.8447282604625,411.07856604066257,24.625,5.533660687796366,63.54600969768696,77.32926839615294,92.37318222593724,1848
2745,1526,United Kingdom,4.432,361.62964467424626,297.44781869053406,431.6507400982474,25.85,5.797568223988897,66.69579131330158,81.09546902214824,96.80601020858535,1852
2746,1527,United Kingdom,4.439,379.10002136686825,312.05090912060564,452.2229141558323,27.075000000000003,6.061475760181427,69.84557292891621,84.86166964814355,101.23883819123347,1713
2747,1528,United Kingdom,4.446000000000001,396.57039805949023,326.6539995506772,472.79508821341716,28.3,6.325383296373958,72.99535454453084,88.62787027413884,105.67166617388159,1722
2748,1529,United Kingdom,4.453,414.04077475211216,341.25708998074873,493.367262271002,29.525,6.589290832566489,76.14513616014547,92.39407090013415,110.10449415652971,1741
2749,1530,United Kingdom,4.460000000000001,431.51115144473414,355.8601804108203,513.9394363285869,30.75,6.853198368759019,79.2949177757601,96.16027152612946,114.53732213917783,1755
2750,1531,United Kingdom,4.4670000000000005,448.9815281373561,370.4632708408918,534.5116103861717,31.975,7.11710590495155,82.44469939137473,99.92647215212476,118.97015012182595,1689
2751,1532,United Kingdom,4.474,466.45190482997805,385.0663612709634,555.0837844437566,33.2,7.381013441144081,85.59448100698935,103.69267277812006,123.40297810447407,1741
2752,1533,United Kingdom,4.481000000000001,483.92228152260003,399.669451701035,575.6559585013415,34.425,7.644920977336612,88.74426262260398,107.45887340411537,127.8358060871222,1725
