,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
category-model,0,-9170.328518951674,19.49876039237097,0.0,0.9133253600348109,40.73506015739379,0.0,False,log
base-model,1,-9197.471791254467,16.47262558789953,27.143272302794202,0.0866746399651891,40.13102016963888,8.103482569752158,False,log
