,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita
259,1830,Italy,22.6,17446.68710139773,15749.827734306718,19234.68260397052,520,23.008849557522122,696.8950324914476,771.9773053715809,851.0921506181645,re_italy,2657
260,1840,Italy,23.8,23449.03528598378,20824.15133939819,26219.880986263182,1052,44.20168067226891,874.9643419915207,985.2535834446966,1101.6756716917303,re_italy,2711
261,1850,Italy,25.0,12778.325722216938,11097.78879746526,14574.78822851144,944,37.76,443.9115518986104,511.13302888867753,582.9915291404576,re_italy,2611
262,1840,Balkans,11.0,3895.402962623667,2992.890370534918,4931.615145451938,85,7.7272727272727275,272.08094277590163,354.127542056697,448.32864958653977,re_balkans,1932
263,1850,Balkans,11.5,2130.5982001384864,1571.15343527583,2773.419062400533,96,8.347826086956522,136.62203785007216,185.26940870769448,241.1668749913507,re_balkans,1607
264,1530,Portugal,1.475,211.04258088347171,156.5019454565717,269.4862312670816,7,4.745762711864407,106.10301386886215,143.07971585320115,182.7025296725977,re_portugal,1281
265,1540,Portugal,1.55,297.5277569828322,222.22370114835385,378.12207676501765,54,34.83870967741935,143.3701297731315,191.95339160182724,243.94972694517267,re_portugal,1218
266,1550,Portugal,1.625,279.2113202287265,209.1319745144677,352.5530043668235,9,5.538461538461538,128.69659970121089,171.82235090998554,216.9556949949683,re_portugal,1331
267,1560,Portugal,1.7,217.96271346841323,163.92504432133137,275.0063759370289,21,12.352941176470589,96.42649665960668,128.2133608637725,161.76845643354642,re_portugal,1565
268,1570,Portugal,1.775,287.6504965570816,217.72549157699424,363.70492703501833,7,3.943661971830986,122.66224877577142,162.05661777863753,204.90418424508076,re_portugal,1433
269,1580,Portugal,1.85,284.9995289825152,216.7343288221412,359.77839729661474,28,15.135135135135135,117.15369125521146,154.0537994500082,194.47480934952148,re_portugal,1155
270,1590,Portugal,1.925,211.99218131453347,161.52387445053765,267.1473347757776,10,5.194805194805195,83.9085062080715,110.12580847508232,138.77783624715718,re_portugal,1313
271,1600,Portugal,2.0,561.224919588427,427.0075080129886,709.0067113536854,19,9.5,213.5037540064943,280.6124597942135,354.5033556768427,re_portugal,1258
272,1610,Portugal,1.95,264.91645342936624,201.69833500668767,334.110179139084,7,3.58974358974359,103.43504359317316,135.8545915022391,171.33855340465846,re_portugal,1471
273,1620,Portugal,1.9,55.47753478885608,42.11234004190347,69.97469927604892,11,5.7894736842105265,22.16438949573867,29.19870252045057,36.82878909265733,re_portugal,1446
274,1630,Portugal,1.85,110.47480311362774,83.63271792609221,139.6168785413056,11,5.945945945945946,45.206874554644436,59.71610979115013,75.46858299530032,re_portugal,1251
275,1640,Portugal,1.8,165.14792334324173,124.7760877203274,208.3595818873265,34,18.88888888888889,69.32004873351522,91.74884630180095,115.75532327073694,re_portugal,1425
276,1650,Portugal,1.75,82.36644776343547,62.09427810881064,104.18687217102168,7,4.0,35.48244463360608,47.06654157910599,59.5353555262981,re_portugal,1322
277,1660,Portugal,1.8,150.7550507856544,113.75710752014751,191.20350268256712,8,4.444444444444445,63.198393066748615,83.75280599203022,106.22416815698173,re_portugal,1460
