,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,gdp_per_capita
0,1,Arabic world,10.187691666666668,9.93844158088508,5.841897286180701,14.554396253730866,1.44,0.1404904005843014,0.5711710378839735,0.9716819196787563,1.4229982691753722,re_arabic_world,1116
1,730,Arabic world,14.511666666666668,60.45204383707252,41.90750003449551,83.08941963488606,6.0,0.4134604341334558,2.887848859618388,4.165754714855118,5.725697919022813,re_arabic_world,1164
2,1000,Arabic world,14.416666666666668,19.405894529070085,14.624199663454046,24.6898496587114,6.0,0.41618497109826585,1.0143953523783154,1.3460736089528382,1.7125907277718888,re_arabic_world,956
3,1120,Arabic world,13.791666666666668,47.78716015780186,38.59104863781523,57.52352234617912,9.0,0.6525679758308156,2.7981424994186264,3.4649300416533064,4.170889837789423,re_arabic_world,1052
4,1280,Arabic world,12.791666666666668,118.99391562337144,93.67213484883,147.66811336720062,20.0,1.563517915309446,7.3229030500714,9.302455944498092,11.544087038478223,re_arabic_world,1068
5,1300,Arabic world,12.666666666666668,38.005637356566,29.82955809008098,47.18505042062269,9.0,0.7105263157894737,2.354965112374814,3.0004450544657364,3.7251355595228435,re_arabic_world,972
6,1400,Arabic world,12.208333333333332,40.63002525707351,31.59700457390936,50.93523923063993,9.0,0.7372013651877134,2.588150545303156,3.3280566763473187,4.172169766332281,re_arabic_world,1164
7,1500,Arabic world,11.75,37.30500853382536,27.732273129598184,47.67376861290444,5.0,0.425531914893617,2.360193457838143,3.174894343304286,4.057342009608888,re_arabic_world,1084
8,1820,Arabic world,15.25,224.90324430494235,175.0807347064495,279.7754908638085,20.0,1.3114754098360655,11.480703915177017,14.747753724914253,18.345933827134985,re_arabic_world,956
9,1870,Arabic world,19.49,821.8321783582354,635.7232276367548,1026.5822829126666,80.0,4.104669061056953,32.617918298448174,42.166863948601105,52.67225669126048,re_arabic_world,1195
10,1,Balkans,4.0375499999999995,38.74519750028812,19.828746154256407,58.952759191063116,3.16,0.7850321819097836,4.928027136087495,9.626653684306843,14.647149208535309,re_balkans,1275
11,1833,Balkans,10.65,1151.6812106113655,909.7607503588079,1405.5556151201245,60.5,5.651515151515151,85.01692654341556,107.63585959537943,131.37584431381222,re_balkans,1537
