,year,region_name,population_interpolated,N_est,lower,upper,score,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
11,1822,Eastern Europe,34.2,20970.459146861984,19273.339122833953,22728.71564346403,959.8,28.083333333333332,564.0946946602912,613.8130152929922,665.3234431369219,re_eastern_europe,POL,850
12,1823,Eastern Europe,34.425,20891.850560739218,19215.603512970963,22628.120563960176,959.7,27.90277777777778,558.9004072858453,607.7169108045621,658.2828565206164,re_eastern_europe,POL,870
13,1824,Eastern Europe,34.65,20813.241974616452,19157.867903107977,22527.52548445632,959.6,27.72222222222222,553.7061199113994,601.620806316132,651.2422699043108,re_eastern_europe,POL,888
14,1825,Eastern Europe,34.875,20734.633388493683,19100.13229324499,22426.930404952465,959.5,27.541666666666664,548.5118325369533,595.5247018277018,644.2016832880053,re_eastern_europe,POL,897
15,1826,Eastern Europe,35.1,20656.024802370917,19042.396683382,22326.33532544861,959.4,27.36111111111111,543.3175451625074,589.4285973392718,637.1610966716997,re_eastern_europe,POL,902
16,1827,Eastern Europe,35.325,20577.41621624815,18984.66107351901,22225.740245944755,959.3,27.180555555555557,538.1232577880614,583.3324928508417,630.1205100553941,re_eastern_europe,POL,921
17,1828,Eastern Europe,35.55,20498.807630125386,18926.925463656025,22125.1451664409,959.2,27.0,532.9289704136155,577.2363883624116,623.0799234390886,re_eastern_europe,POL,942
18,1829,Eastern Europe,35.775,20420.199044002617,18869.18985379304,22024.550086937044,959.1,26.819444444444443,527.7346830391696,571.1402838739815,616.039336822783,re_eastern_europe,POL,953
19,1830,Eastern Europe,36.0,20341.59045787985,18811.45424393005,21923.95500743319,959.0,26.63888888888889,522.5403956647236,565.0441793855514,608.9987502064774,re_eastern_europe,POL,942
20,1831,Eastern Europe,36.225,21657.392741839736,20048.063454271884,23321.70236040544,1023.4,28.165849673202615,551.7962811893582,596.1204498064177,641.9588190738185,re_eastern_europe,POL,929
21,1832,Eastern Europe,36.45,22973.195025799625,21284.672664613718,24719.449713377693,1087.8,29.69281045751634,581.0521667139927,627.1967202272841,674.9188879411595,re_eastern_europe,POL,923
22,1833,Eastern Europe,36.675,24288.99730975951,22521.28187495555,26117.197066349945,1152.2,31.219771241830067,610.3080522386273,658.2729906481504,707.8789568085006,re_eastern_europe,POL,920
23,1834,Eastern Europe,36.9,25604.7995937194,23757.891085297386,27514.9444193222,1216.6,32.74673202614379,639.5639377632618,689.3492610690167,740.8390256758416,re_eastern_europe,POL,923
24,1835,Eastern Europe,37.125,26920.601877679284,24994.50029563922,28912.69177229445,1281.0,34.27369281045752,668.8198232878963,720.425531489883,773.7990945431827,re_eastern_europe,POL,915
25,1836,Eastern Europe,37.35,28236.40416163917,26231.109505981054,30310.439125266705,1345.4,35.80065359477124,698.0757088125308,751.5018019107495,806.7591634105237,re_eastern_europe,POL,912
26,1837,Eastern Europe,37.575,29552.206445599055,27467.71871632289,31708.186478238957,1409.8000000000002,37.32761437908496,727.3315943371654,782.5780723316158,839.7192322778648,re_eastern_europe,POL,923
27,1838,Eastern Europe,37.8,30868.008729558944,28704.327926664722,33105.93383121121,1474.2,38.85457516339869,756.5874798617999,813.6543427524821,872.6793011452057,re_eastern_europe,POL,921
28,1839,Eastern Europe,38.025,32183.811013518833,29940.937137006556,34503.68118418346,1538.6,40.38153594771242,785.8433653864345,844.7306131733485,905.6393700125468,re_eastern_europe,POL,913
29,1840,Eastern Europe,38.25,33499.61329747872,31177.54634734839,35901.42853715571,1603.0,41.908496732026144,815.099250911069,875.8068835942148,938.5994388798879,re_eastern_europe,POL,907
30,1841,Eastern Europe,38.475,33601.003016824114,31285.515194145384,35996.809595617065,1605.4,41.734931009440814,813.2368191911185,873.4447396568493,935.7400854160207,re_eastern_europe,POL,921
31,1842,Eastern Europe,38.7,33702.39273616951,31393.484040942378,36092.19065407842,1607.8,41.561365286855484,811.3743874711679,871.0825957194837,932.8807319521535,re_eastern_europe,POL,917
32,1843,Eastern Europe,38.925,33803.7824555149,31501.452887739368,36187.57171253978,1610.2,41.38779956427015,809.5119557512173,868.7204517821183,930.0213784882864,re_eastern_europe,POL,913
33,1844,Eastern Europe,39.15,33905.172174860294,31609.42173453636,36282.95277100113,1612.6,41.21423384168482,807.6495240312668,866.3583078447527,927.1620250244192,re_eastern_europe,POL,915
34,1845,Eastern Europe,39.375,34006.56189420569,31717.390581333355,36378.333829462485,1615.0,41.04066811909949,805.7870923113162,863.9961639073872,924.302671560552,re_eastern_europe,POL,932
