,individual_wikidata_id,decade,region_name,count_works,occupation
138,Q21462570,1870,United Kingdom,0.0,Work of art
139,Q111974525,1860,France,0.0,Written work
140,Q12316354,1830,Nordic countries,0.0,Science
141,Q19502020,1830,Italy,0.0,Work of art
142,Q2615088,1830,Eastern Europe,1.0,Work of art
143,Q15969955,1850,France,2.0,Work of art
144,Q6221415,1840,Italy,2.0,Science
145,Q6221415,1840,Italy,2.0,Written work
146,Q6526304,1840,Low countries,32.0,Science
147,Q6526304,1840,Low countries,32.0,Written work
148,Q56033550,1840,France,0.0,Work of art
149,Q55227402,1860,Italy,0.0,Music
150,Q4514643,1820,Eastern Europe,0.0,Written work
151,Q629784,1820,Eastern Europe,4.0,Theater
152,Q629784,1820,Eastern Europe,4.0,Written work
153,Q3867122,1840,United Kingdom,0.0,Science
154,Q110863319,1840,Eastern Europe,0.0,Written work
155,Q55056984,1860,France,3.0,Science
157,Q5616213,1870,Nordic countries,0.0,Written work
158,Q52423852,1880,France,0.0,Written work
159,Q25768315,1850,United Kingdom,0.0,Work of art
161,Q318399,1850,United Kingdom,55.0,Written work
162,Q17276288,1870,France,0.0,Written work
163,Q3659353,1880,Italy,0.0,Science
164,Q532597,1880,Italy,0.0,Science
165,Q1315541,1850,Eastern Europe,0.0,Written work
166,Q108419393,1870,France,0.0,Work of art
167,Q3770175,1830,Italy,0.0,Science
168,Q18507931,1810,France,0.0,Work of art
169,Q5371616,1880,United Kingdom,1.0,Written work
171,Q5802624,1860,Nordic countries,19.0,Work of art
172,Q61198932,1840,Eastern Europe,0.0,Written work
173,Q3166241,1830,France,0.0,Science
174,Q95149798,1860,Eastern Europe,0.0,Written work
175,Q94910519,1840,Low countries,0.0,Science
177,Q3742645,1810,Italy,0.0,Music
178,Q12173779,1820,Eastern Europe,34.0,Work of art
179,Q5075775,1830,United Kingdom,0.0,Written work
180,Q20950183,1880,France,3.0,Work of art
182,Q19306059,1840,Eastern Europe,0.0,Written work
183,Q87648773,1850,Low countries,0.0,Architecture
184,Q18528750,1860,United Kingdom,0.0,Music
185,Q21466049,1840,United Kingdom,0.0,Work of art
186,Q12323481,1860,Nordic countries,7.0,Work of art
187,Q95361847,1810,Eastern Europe,0.0,Written work
188,Q189117,1870,Eastern Europe,127.0,Work of art
189,Q60036436,1860,France,1.0,Work of art
190,Q328042,1880,Eastern Europe,0.0,Written work
191,Q2059329,1860,France,33.0,Work of art
193,Q104617423,1840,Low countries,0.0,Work of art
194,Q9250960,1820,Eastern Europe,0.0,Written work
197,Q455438,1860,United Kingdom,7.0,Science
198,Q21544214,1840,France,0.0,Science
199,Q21544214,1840,France,0.0,Written work
200,Q20804688,1880,United Kingdom,0.0,Written work
201,Q107303400,1840,France,1.0,Work of art
202,Q21609525,1840,United Kingdom,0.0,Science
203,Q21609525,1840,United Kingdom,0.0,Written work
204,Q33693258,1820,United Kingdom,0.0,Science
205,Q4990073,1880,Nordic countries,0.0,Music
206,Q6787507,1860,United Kingdom,0.0,Theater
207,Q18511692,1860,France,0.0,Work of art
208,Q18511692,1860,France,0.0,Sculpture
211,Q2744884,1850,Nordic countries,6.0,Science
212,Q16063982,1850,United Kingdom,2.0,Work of art
214,Q1051346,1810,Eastern Europe,0.0,Music
216,Q12019632,1840,Eastern Europe,0.0,Written work
217,Q679757,1870,France,0.0,Science
218,Q1162721,1840,Eastern Europe,0.0,Science
219,Q21462400,1870,United Kingdom,0.0,Work of art
220,Q1127611,1850,Eastern Europe,0.0,Written work
222,Q76301899,1870,United Kingdom,0.0,Written work
223,Q21461511,1860,United Kingdom,0.0,Work of art
224,Q63212017,1870,France,1.0,Work of art
225,Q50842915,1840,Eastern Europe,3.0,Work of art
226,Q50842915,1840,Eastern Europe,3.0,Sculpture
227,Q52154844,1850,France,0.0,Work of art
228,Q106090923,1830,Italy,0.0,Work of art
229,Q21518578,1880,France,0.0,Science
230,Q17350106,1840,France,0.0,Work of art
231,Q4356483,1860,Nordic countries,0.0,Science
233,Q18528974,1850,United Kingdom,0.0,Written work
235,Q3369201,1820,Nordic countries,0.0,Work of art
236,Q111536316,1850,France,0.0,Work of art
237,Q18539061,1880,Eastern Europe,0.0,Science
238,Q24936027,1840,France,0.0,Work of art
239,Q5391980,1820,Nordic countries,0.0,Written work
240,Q3083517,1810,France,0.0,Music
242,Q3083517,1810,France,0.0,Written work
243,Q6029145,1860,Nordic countries,0.0,Music
244,Q54084647,1880,Eastern Europe,0.0,Music
245,Q25432290,1850,Italy,0.0,Music
246,Q64685422,1880,United Kingdom,0.0,Written work
247,Q56007154,1810,Italy,0.0,Written work
248,Q352109,1830,United Kingdom,1.0,Science
249,Q3767244,1850,Italy,1.0,Written work
250,Q6236634,1860,Nordic countries,0.0,Written work
251,Q1212089,1860,Eastern Europe,0.0,Architecture
252,Q4762916,1810,Italy,0.0,Work of art
253,Q52149822,1860,France,0.0,Work of art
254,Q1214237,1840,Eastern Europe,0.0,Written work
256,Q2821487,1870,France,0.0,Science
257,Q2821487,1870,France,0.0,Written work
258,Q24288411,1850,France,0.0,Work of art
259,Q29828160,1870,Eastern Europe,0.0,Written work
260,Q112345222,1870,Eastern Europe,0.0,Written work
261,Q434218,1840,France,0.0,Architecture
262,Q15969919,1810,France,0.0,Written work
263,Q1496509,1830,Eastern Europe,0.0,Written work
264,Q1131427,1850,Italy,0.0,Science
265,Q1131427,1850,Italy,0.0,Written work
266,Q954880,1840,France,53.0,Science
267,Q358922,1850,Low countries,0.0,Written work
268,Q4172294,1840,Eastern Europe,0.0,Music
270,Q111028941,1820,France,0.0,Work of art
271,Q2861361,1880,France,4.0,Sculpture
272,Q154349,1880,France,454.0,Work of art
273,Q154349,1880,France,454.0,Sculpture
277,Q19325085,1860,United Kingdom,0.0,Written work
278,Q22704086,1880,Low countries,0.0,Work of art
280,Q6280602,1860,France,0.0,Written work
281,Q3181539,1820,United Kingdom,0.0,Written work
282,Q5546277,1850,United Kingdom,0.0,Architecture
283,Q19279970,1830,Eastern Europe,0.0,Science
284,Q23909745,1860,France,0.0,Theater
285,Q23909745,1860,France,0.0,Written work
286,Q16687252,1860,Eastern Europe,2.0,Work of art
287,Q6028968,1850,Nordic countries,0.0,Architecture
288,Q3072894,1850,France,10.0,Work of art
289,Q52148327,1860,France,1.0,Work of art
290,Q107363636,1820,Low countries,0.0,Work of art
291,Q16171426,1830,Nordic countries,0.0,Work of art
292,Q16171426,1830,Nordic countries,0.0,Sculpture
293,Q95457390,1810,Eastern Europe,0.0,Science
294,Q23718865,1860,France,0.0,Science
295,Q5497544,1860,United Kingdom,3.0,Architecture
296,Q5343542,1860,United Kingdom,2.0,Science
297,Q526382,1840,Eastern Europe,2.0,Sculpture
298,Q526382,1840,Eastern Europe,2.0,Architecture
299,Q191305,1840,France,105.0,Theater
300,Q191305,1840,France,105.0,Written work
302,Q55902035,1850,Nordic countries,0.0,Science
303,Q23055049,1870,France,1.0,Science
305,Q79118052,1830,France,1.0,Architecture
306,Q97450038,1860,Eastern Europe,0.0,Sculpture
307,Q108836,1850,Eastern Europe,0.0,Written work
308,Q12744309,1850,Eastern Europe,0.0,Science
310,Q621434,1830,France,0.0,Science
312,Q5086063,1870,United Kingdom,0.0,Written work
313,Q100139074,1840,United Kingdom,0.0,Music
314,Q17501881,1850,France,1.0,Sculpture
315,Q2834925,1880,Italy,0.0,Work of art
316,Q274324,1870,Eastern Europe,2.0,Written work
318,Q11866588,1870,Nordic countries,0.0,Written work
319,Q12752121,1810,Eastern Europe,0.0,Written work
321,Q94693471,1850,Eastern Europe,0.0,Music
322,Q16058434,1880,Italy,3.0,Work of art
323,Q55339891,1860,France,0.0,Architecture
324,Q3430250,1860,Nordic countries,3.0,Sculpture
325,Q3157915,1850,France,0.0,Written work
326,Q12306060,1840,Nordic countries,0.0,Work of art
327,Q19703269,1850,France,0.0,Architecture
328,Q762092,1810,Italy,1.0,Science
329,Q28361353,1860,United Kingdom,0.0,Written work
330,Q6243227,1820,Nordic countries,0.0,Music
331,Q18733244,1860,United Kingdom,0.0,Written work
332,Q3179699,1870,France,0.0,Work of art
333,Q604679,1860,Italy,0.0,Science
334,Q280310,1830,Italy,4.0,Work of art
335,Q12017295,1820,Eastern Europe,0.0,Music
336,Q18061366,1860,Eastern Europe,0.0,Written work
337,Q7192701,1860,Eastern Europe,0.0,Work of art
338,Q7192701,1860,Eastern Europe,0.0,Written work
339,Q715594,1840,France,6.0,Science
340,Q715594,1840,France,6.0,Written work
341,Q1219765,1860,Eastern Europe,0.0,Written work
342,Q21545650,1860,Low countries,0.0,Work of art
344,Q18529492,1860,Eastern Europe,0.0,Science
345,Q28801673,1880,Eastern Europe,0.0,Written work
347,Q51620640,1850,France,1.0,Sculpture
348,Q110082579,1860,Italy,0.0,Work of art
349,Q52218657,1870,France,0.0,Architecture
350,Q94942644,1880,Eastern Europe,0.0,Science
352,Q1948187,1880,Eastern Europe,0.0,Science
353,Q5075513,1860,United Kingdom,0.0,Music
354,Q636430,1860,United Kingdom,0.0,Work of art
355,Q20976266,1880,France,0.0,Music
357,Q37191120,1860,United Kingdom,0.0,Work of art
359,Q94912915,1880,Eastern Europe,0.0,Written work
360,Q2327335,1830,Italy,0.0,Written work
361,Q4274808,1820,Eastern Europe,0.0,Written work
362,Q60464233,1880,Nordic countries,0.0,Architecture
363,Q715338,1820,United Kingdom,2.0,Written work
364,Q2645497,1850,France,1.0,Written work
366,Q3702603,1850,Italy,0.0,Architecture
367,Q794916,1830,France,8.0,Architecture
368,Q19729752,1820,Low countries,0.0,Work of art
369,Q19918362,1850,United Kingdom,0.0,Science
370,Q110175456,1820,France,0.0,Work of art
371,Q18910510,1880,United Kingdom,2.0,Science
372,Q11727693,1810,Eastern Europe,0.0,Music
373,Q3266332,1840,Italy,0.0,Music
375,Q18421731,1860,Low countries,14.0,Work of art
377,Q1981832,1840,Nordic countries,0.0,Music
379,Q29457629,1850,France,2.0,Work of art
380,Q60501865,1840,Eastern Europe,0.0,Written work
381,Q12331743,1860,United Kingdom,1.0,Work of art
382,Q2308805,1820,Nordic countries,5.0,Written work
383,Q2873374,1830,Eastern Europe,0.0,Written work
384,Q98687096,1830,Italy,0.0,Work of art
385,Q3059980,1880,France,0.0,Science
386,Q42318619,1840,France,0.0,Music
387,Q21458067,1870,United Kingdom,4.0,Work of art
388,Q1819606,1840,Low countries,15.0,Work of art
389,Q12352947,1870,Eastern Europe,0.0,Written work
390,Q101582847,1820,Eastern Europe,0.0,Science
391,Q4693023,1860,Nordic countries,3.0,Work of art
392,Q59529854,1850,France,0.0,Science
393,Q44490,1840,United Kingdom,62.0,Written work
397,Q4861321,1840,Italy,0.0,Science
398,Q6120326,1820,France,0.0,Music
399,Q3105065,1870,Italy,0.0,Music
400,Q49410802,1860,France,0.0,Work of art
401,Q11870130,1870,Nordic countries,0.0,Written work
402,Q2722891,1830,Low countries,0.0,Work of art
403,Q12038694,1840,Eastern Europe,0.0,Written work
404,Q94841973,1850,Italy,0.0,Science
405,Q94841973,1850,Italy,0.0,Written work
406,Q3920224,1850,Eastern Europe,0.0,Written work
407,Q3093784,1860,France,0.0,Theater
408,Q16214923,1860,France,0.0,Architecture
409,Q2960751,1810,Low countries,0.0,Work of art
410,Q12315502,1840,Italy,1.0,Science
412,Q2975144,1870,France,4.0,Written work
413,Q17309173,1870,United Kingdom,3.0,Sculpture
414,Q38027527,1850,Low countries,1.0,Work of art
415,Q1972428,1840,France,2.0,Science
417,Q20670142,1880,Nordic countries,0.0,Science
418,Q127348,1820,Low countries,1.0,Written work
419,Q98834974,1840,Italy,0.0,Science
420,Q3665458,1840,Italy,0.0,Work of art
421,Q28492320,1870,France,0.0,Science
422,Q12789043,1870,Italy,0.0,Written work
423,Q75231,1820,Eastern Europe,0.0,Science
424,Q18575958,1810,United Kingdom,0.0,Written work
425,Q5553111,1820,Nordic countries,0.0,Work of art
426,Q19569542,1850,Low countries,2.0,Work of art
428,Q3620122,1860,Italy,112.0,Work of art
429,Q12407827,1880,Eastern Europe,0.0,Written work
431,Q274278,1870,France,0.0,Music
433,Q3164280,1850,France,0.0,Work of art
434,Q12796081,1850,Eastern Europe,0.0,Work of art
435,Q15829962,1880,Eastern Europe,2.0,Written work
436,Q22337714,1830,France,1.0,Work of art
437,Q46998238,1840,France,0.0,Work of art
438,Q38027542,1840,Italy,0.0,Work of art
440,Q5613600,1820,Nordic countries,0.0,Science
442,Q1309154,1860,United Kingdom,0.0,Music
444,Q1974725,1820,Eastern Europe,0.0,Science
447,Q16332921,1870,Italy,0.0,Science
448,Q18576079,1860,United Kingdom,0.0,Sculpture
449,Q21453621,1880,United Kingdom,1.0,Work of art
450,Q105912996,1860,France,0.0,Work of art
451,Q2977400,1820,France,2.0,Science
452,Q110211692,1860,United Kingdom,0.0,Work of art
453,Q28549052,1830,France,0.0,Music
454,Q16043651,1870,United Kingdom,0.0,Work of art
455,Q55281050,1830,Italy,0.0,Science
456,Q27942723,1870,Low countries,0.0,Music
457,Q52155093,1870,France,0.0,Work of art
458,Q12050259,1860,Eastern Europe,1.0,Science
459,Q1165794,1850,Eastern Europe,0.0,Sculpture
460,Q5362401,1810,United Kingdom,9.0,Written work
463,Q63922277,1860,Italy,0.0,Music
464,Q4176822,1810,Eastern Europe,0.0,Science
465,Q1412583,1830,Italy,0.0,Written work
467,Q21390923,1870,Italy,0.0,Science
468,Q221933,1810,Italy,11.0,Work of art
469,Q98962799,1870,France,0.0,Music
470,Q1528726,1820,Italy,0.0,Work of art
471,Q24265866,1870,Italy,1.0,Written work
472,Q15969930,1840,France,0.0,Written work
473,Q59187544,1860,Italy,0.0,Music
474,Q9393100,1880,Eastern Europe,0.0,Science
475,Q59882009,1870,Low countries,0.0,Sculpture
476,Q638354,1860,Eastern Europe,0.0,Written work
477,Q3085837,1860,Italy,0.0,Work of art
478,Q101121214,1860,France,0.0,Work of art
480,Q18507518,1860,Eastern Europe,0.0,Science
482,Q12071447,1850,Eastern Europe,1.0,Work of art
484,Q5343204,1860,United Kingdom,0.0,Written work
485,Q112699934,1840,Eastern Europe,0.0,Written work
486,Q2695064,1880,Nordic countries,14.0,Work of art
487,Q104525167,1840,France,0.0,Work of art
488,Q52148346,1860,France,0.0,Work of art
490,Q1032222,1850,Eastern Europe,0.0,Written work
492,Q12352574,1840,Eastern Europe,0.0,Written work
493,Q3875831,1860,Italy,0.0,Written work
494,Q1358168,1810,France,0.0,Written work
496,Q1378365,1840,United Kingdom,0.0,Science
498,Q1378365,1840,United Kingdom,0.0,Written work
499,Q76342944,1870,Italy,0.0,Work of art
500,Q24188957,1820,Low countries,1.0,Work of art
501,Q98837260,1810,France,0.0,Theater
502,Q3132487,1830,France,0.0,Music
504,Q983223,1840,Eastern Europe,4.0,Work of art
505,Q5648147,1860,Nordic countries,2.0,Written work
506,Q55422277,1870,Low countries,0.0,Music
507,Q22893674,1840,Low countries,4.0,Work of art
509,Q9253348,1860,Eastern Europe,0.0,Music
510,Q3570601,1860,France,0.0,Written work
512,Q1141251,1880,Italy,22.0,Work of art
513,Q95399848,1850,Eastern Europe,0.0,Music
515,Q3695108,1880,Italy,1.0,Science
516,Q27095600,1830,Low countries,3.0,Work of art
517,Q106423720,1860,France,0.0,Work of art
518,Q1612017,1860,Eastern Europe,1.0,Written work
519,Q2853965,1830,France,1.0,Science
521,Q3748841,1850,Italy,0.0,Science
522,Q21021014,1860,France,2.0,Sculpture
523,Q51231,1840,Eastern Europe,0.0,Architecture
524,Q5574572,1830,Nordic countries,0.0,Music
527,Q21456031,1860,United Kingdom,0.0,Work of art
528,Q16859103,1810,United Kingdom,0.0,Work of art
529,Q85180,1870,United Kingdom,27.0,Work of art
530,Q85180,1870,United Kingdom,27.0,Sculpture
531,Q1722657,1810,United Kingdom,28.0,Work of art
532,Q4104549,1870,Eastern Europe,0.0,Music
534,Q347268,1830,France,10.0,Written work
536,Q95468,1840,Low countries,2.0,Science
538,Q62210572,1830,France,2.0,Work of art
