year,population,
2,6000,
24,3500,
140,6000,
220,2300,
300,3500,
609,6000,
622,2500,
755,7000,
980,3540,
1110,14000,
1130,9000,
1210,14500,
1290,7500,
1330,8500,
1341,9000,
1391,7160,
1630,19250,
1644,15250,
1678,16000,
1776,31150,
1820,38310,
1851,43610,
1880,36450,
1910,43600,
1949,54170,
1953,59020,
1964,73900,
1982,116000,
2000,129500,
