,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
0,1810.0,Italy,23.827646757471207,6616.901223343156,6123.758924614869,7118.99928350636,437,19,18.340040225037235,257.0022540180033,277.69847734831023,298.7705565709792,re_italy,ITA,2558
1,1820.0,Italy,24.380769182034847,8042.852163987202,7464.520311451551,8624.199568057418,542,19,22.230635791399756,306.1642664232201,329.8850870510533,353.7295933391726,re_italy,ITA,2665
2,1830.0,Italy,24.93439510964646,7636.223259516337,7108.911107332705,8164.585404394426,524,19,21.01514785884171,285.1046145724407,306.2525971027901,327.4426898463546,re_italy,ITA,2657
3,1840.0,Italy,25.488799675950183,15370.21209568044,14324.254089834263,16423.983331782452,1051,19,41.23379732909374,561.982293083414,603.0182782668624,644.3607992760527,re_italy,ITA,2711
4,1850.0,Italy,26.044181235748603,13723.412980166131,12746.06688381643,14706.164414307765,949,19,36.438081558785555,489.4017119770692,526.9281785418228,564.6621900373616,re_italy,ITA,2611
5,1860.0,Italy,26.60067725852277,17731.356152873723,16317.669048350992,19141.04278701136,1228,19,46.16423815324299,613.4305863630922,666.5753650010041,719.5697538444678,re_italy,ITA,2573
6,1820.0,Low countries,4.994689780768657,2502.7234040470616,2322.219031124719,2689.556077436902,338,19,67.67187049362323,464.9375903316545,501.07684639062916,538.4831081587199,re_low_countries,NLD,3006
7,1830.0,Low countries,5.08436804971445,2824.9760655371424,2633.587881763693,3026.97009420024,381,19,74.93556648036089,517.9774272855014,555.6198996443225,595.3483431181269,re_low_countries,NLD,3038
8,1840.0,Low countries,5.174033376004072,6326.229569218808,5909.225775181841,6755.655641947647,798,19,154.23170706647022,1142.0927051973447,1222.6882027004979,1305.6845889859853,re_low_countries,NLD,3623
9,1850.0,Low countries,5.263687217822615,7003.317935287129,6533.651298559963,7499.333356145397,841,19,159.77393131423364,1241.2689105912875,1330.4965978172488,1424.7300505913388,re_low_countries,NLD,3779
10,1860.0,Low countries,5.353330854128841,10065.476704514718,9307.256261815766,10838.965181064834,1121,19,209.40233857121143,1738.591638631376,1880.2269052269692,2024.7142342612938,re_low_countries,NLD,3840
11,1810.0,Nordic countries,2.3590000000100417,3377.009653804409,3063.630578027958,3703.452618907623,286,19,121.23781263195531,1298.6988461275612,1431.5428799449062,1569.9248066519112,re_nordic_countries,SWE,1320
12,1820.0,Nordic countries,2.3879999999820782,4649.064903159792,4244.858300013796,5063.637547989667,401,19,167.92294807496208,1777.5788526154327,1946.8445993277567,2120.4512345174494,re_nordic_countries,SWE,1415
13,1830.0,Nordic countries,2.4169999999873117,4549.088150517931,4173.590886648062,4930.533879250047,397,19,164.25320645514444,1726.7649510426031,1882.121700679277,2039.9395445907862,re_nordic_countries,SWE,1468
14,1840.0,Nordic countries,2.4459999999997493,6776.092827932937,6244.213314705862,7319.573692972474,603,19,246.52493867541367,2552.8263755954627,2770.275072744739,2992.466759187745,re_nordic_countries,SWE,1568
15,1850.0,Nordic countries,2.4749999999973227,7053.781216067813,6520.006630377806,7612.677970264337,661,19,267.070707070996,2634.3461132868115,2850.012612555735,3075.829482938413,re_nordic_countries,SWE,1715
16,1860.0,Nordic countries,2.50400000000041,9880.151116492572,9066.952173267891,10711.894204343733,896,19,357.8274760382801,3620.987289643134,3945.74725099479,4277.9130209033465,re_nordic_countries,SWE,1941
17,1810.0,United Kingdom,6.569025501633812,4198.166717023654,3961.435585745141,4452.284603576639,655,19,99.71037558570781,603.047679562193,639.0851604974755,677.7694199039555,re_united_kingdom,GBR,3478
18,1820.0,United Kingdom,6.64569397898932,6167.788745824104,5838.781135204019,6508.989854147817,963,19,144.90585980103367,878.5811013362344,928.0879867962418,979.4296690046667,re_united_kingdom,GBR,3306
19,1830.0,United Kingdom,6.722395623092373,6051.521025494294,5751.711241964363,6358.408289503978,955,19,142.06245117729176,855.60439528528,900.2030473640185,945.854520620886,re_united_kingdom,GBR,3550
20,1840.0,United Kingdom,6.799128087497146,9606.202483224137,9162.294682894582,10068.132604231236,1510,19,222.08730010201236,1347.5690654722393,1412.8579958493347,1480.7976073793097,re_united_kingdom,GBR,4018
21,1850.0,United Kingdom,6.875889237439902,9489.03208901906,9053.254760741298,9940.690165177,1450,19,210.88181469017934,1316.666753653538,1380.0443493694363,1445.7315733140306,re_united_kingdom,GBR,4332
22,1860.0,United Kingdom,6.952677127088525,11812.504754508776,11220.128512091154,12412.387803528114,1850,19,266.084555083417,1613.7853530370467,1698.986525418495,1785.2673979592485,re_united_kingdom,GBR,5086
23,1820.0,Eastern Europe,22.05677783790474,21127.67631910752,19388.81034255993,22929.90580247174,956,19,43.34268618134725,879.0409227063126,957.8768247281997,1039.5854721384792,re_eastern_europe,POL,818
24,1830.0,Eastern Europe,22.35696325611969,20341.59045787985,18811.45424393005,21923.95500743319,976,19,43.65530277162499,841.4136583948116,909.8548056302692,980.6320633206759,re_eastern_europe,POL,942
25,1840.0,Eastern Europe,22.657210151146288,33499.61329747872,31177.54634734839,35901.42853715571,1591,19,70.22047239648819,1376.0540745909548,1478.54096219273,1584.5476251337752,re_eastern_europe,POL,907
26,1850.0,Eastern Europe,22.957513172637327,34513.51049093266,32257.23481531832,36855.23912176926,1642,19,71.52342623751915,1405.0840164066713,1503.3645077929752,1605.3672209451847,re_eastern_europe,POL,985
27,1860.0,Eastern Europe,23.257867574931264,46999.76271447981,43772.49154433331,50331.83158470933,2287,19,98.33231669377406,1882.0509405391037,2020.811347517474,2164.077657702378,re_eastern_europe,POL,1358
