,year,region_name,population_interpolated,N_est,lower,upper,score,century,score_cap,lower_cap,N_est_cap,upper_cap,region_code,country_code_maddison,gdp_per_capita
10,1821,Eastern Europe,22.086796379726234,21049.067732984753,19331.074732696943,22829.310722967886,958.0,19.0,43.373947840375024,875.2781962751625,953.0746228184066,1033.6901312566988,re_eastern_europe,POL,834
11,1822,Eastern Europe,22.11681492154773,20970.459146861984,19273.339122833953,22728.71564346403,960.0,19.0,43.405209499402794,871.5154698440124,948.2724209086136,1027.7947903749186,re_eastern_europe,POL,850
12,1823,Eastern Europe,22.146833463369227,20891.850560739218,19215.603512970963,22628.120563960176,962.0,19.0,43.43647115843057,867.7527434128623,943.4702189988205,1021.8994494931383,re_eastern_europe,POL,870
13,1824,Eastern Europe,22.17685200519072,20813.241974616452,19157.867903107977,22527.52548445632,964.0,19.0,43.46773281745834,863.9900169817122,938.6680170890276,1016.0041086113579,re_eastern_europe,POL,888
14,1825,Eastern Europe,22.206870547012215,20734.633388493683,19100.13229324499,22426.930404952465,966.0,19.0,43.49899447648612,860.2272905505621,933.8658151792345,1010.1087677295775,re_eastern_europe,POL,897
15,1826,Eastern Europe,22.23688908883371,20656.024802370917,19042.396683382,22326.33532544861,968.0,19.0,43.530256135513895,856.464564119412,929.0636132694414,1004.2134268477972,re_eastern_europe,POL,902
16,1827,Eastern Europe,22.266907630655204,20577.41621624815,18984.66107351901,22225.740245944755,970.0,19.0,43.561517794541665,852.7018376882619,924.2614113596484,998.318085966017,re_eastern_europe,POL,921
17,1828,Eastern Europe,22.296926172476702,20498.807630125386,18926.925463656025,22125.1451664409,972.0,19.0,43.59277945356944,848.9391112571118,919.4592094498553,992.4227450842366,re_eastern_europe,POL,942
18,1829,Eastern Europe,22.326944714298197,20420.199044002617,18869.18985379304,22024.550086937044,974.0,19.0,43.62404111259721,845.1763848259617,914.6570075400623,986.5274042024562,re_eastern_europe,POL,953
19,1830,Eastern Europe,22.35696325611969,20341.59045787985,18811.45424393005,21923.95500743319,976.0,19.0,43.65530277162499,841.4136583948116,909.8548056302692,980.6320633206759,re_eastern_europe,POL,942
20,1831,Eastern Europe,22.38698794562235,21657.392741839736,20048.063454271884,23321.70236040544,1037.5,19.0,46.31181973411131,894.877700014426,966.7234212865153,1041.0236195019859,re_eastern_europe,POL,929
21,1832,Eastern Europe,22.417012635125012,22973.195025799625,21284.672664613718,24719.449713377693,1099.0,19.0,48.96833669659763,948.3417416340402,1023.5920369427613,1101.4151756832957,re_eastern_europe,POL,923
22,1833,Eastern Europe,22.44703732462767,24288.99730975951,22521.28187495555,26117.197066349945,1160.5,19.0,51.62485365908395,1001.8057832536546,1080.4606525990075,1161.8067318646058,re_eastern_europe,POL,920
23,1834,Eastern Europe,22.47706201413033,25604.7995937194,23757.891085297386,27514.9444193222,1222.0,19.0,54.28137062157027,1055.2698248732688,1137.3292682552535,1222.1982880459157,re_eastern_europe,POL,923
24,1835,Eastern Europe,22.50708670363299,26920.601877679284,24994.50029563922,28912.69177229445,1283.5,19.0,56.93788758405659,1108.7338664928832,1194.1978839114995,1282.5898442272255,re_eastern_europe,POL,915
25,1836,Eastern Europe,22.53711139313565,28236.40416163917,26231.109505981054,30310.439125266705,1345.0,19.0,59.59440454654291,1162.1979081124975,1251.0664995677457,1342.9814004085356,re_eastern_europe,POL,912
26,1837,Eastern Europe,22.56713608263831,29552.206445599055,27467.71871632289,31708.186478238957,1406.5,19.0,62.250921509029226,1215.661949732112,1307.9351152239917,1403.3729565898454,re_eastern_europe,POL,923
27,1838,Eastern Europe,22.597160772140967,30868.008729558944,28704.327926664722,33105.93383121121,1468.0,19.0,64.90743847151555,1269.125991351726,1364.8037308802377,1463.7645127711553,re_eastern_europe,POL,921
28,1839,Eastern Europe,22.627185461643627,32183.811013518833,29940.937137006556,34503.68118418346,1529.5,19.0,67.56395543400187,1322.5900329713404,1421.672346536484,1524.1560689524654,re_eastern_europe,POL,913
29,1840,Eastern Europe,22.657210151146288,33499.61329747872,31177.54634734839,35901.42853715571,1591.0,19.0,70.22047239648819,1376.0540745909548,1478.54096219273,1584.5476251337752,re_eastern_europe,POL,907
30,1841,Eastern Europe,22.68724045329539,33601.003016824114,31285.515194145384,35996.809595617065,1596.1,19.0,70.35076778059128,1378.9570687725263,1481.0233167527545,1586.6295847149163,re_eastern_europe,POL,921
31,1842,Eastern Europe,22.717270755444495,33702.39273616951,31393.484040942378,36092.19065407842,1601.2,19.0,70.48106316469438,1381.860062954098,1483.505671312779,1588.7115442960571,re_eastern_europe,POL,917
32,1843,Eastern Europe,22.7473010575936,33803.7824555149,31501.452887739368,36187.57171253978,1606.3,19.0,70.61135854879748,1384.7630571356697,1485.9880258728035,1590.793503877198,re_eastern_europe,POL,913
33,1844,Eastern Europe,22.777331359742703,33905.172174860294,31609.42173453636,36282.95277100113,1611.4,19.0,70.74165393290058,1387.6660513172415,1488.470380432828,1592.875463458339,re_eastern_europe,POL,915
34,1845,Eastern Europe,22.807361661891807,34006.56189420569,31717.390581333355,36378.333829462485,1616.5,19.0,70.87194931700367,1390.569045498813,1490.9527349928526,1594.95742303948,re_eastern_europe,POL,932
35,1846,Eastern Europe,22.83739196404091,34107.951613551086,31825.35942813035,36473.71488792384,1621.6,19.0,71.00224470110676,1393.4720396803846,1493.4350895528771,1597.039382620621,re_eastern_europe,POL,944
36,1847,Eastern Europe,22.867422266190015,34209.34133289648,31933.328274927342,36569.09594638519,1626.7,19.0,71.13254008520985,1396.3750338619564,1495.9174441129016,1599.1213422017618,re_eastern_europe,POL,956
37,1848,Eastern Europe,22.89745256833912,34310.73105224187,32041.297121724332,36664.47700484655,1631.8,19.0,71.26283546931296,1399.278028043528,1498.3997986729262,1601.2033017829028,re_eastern_europe,POL,960
38,1849,Eastern Europe,22.927482870488223,34412.120771587266,32149.265968521326,36759.858063307904,1636.9,19.0,71.39313085341605,1402.1810222250997,1500.8821532329507,1603.285261364044,re_eastern_europe,POL,960
39,1850,Eastern Europe,22.957513172637327,34513.51049093266,32257.23481531832,36855.23912176926,1642.0,19.0,71.52342623751915,1405.0840164066713,1503.3645077929752,1605.3672209451847,re_eastern_europe,POL,985
40,1851,Eastern Europe,22.98754861286672,35762.135713287375,33408.76048821982,38202.89836806327,1706.5,19.0,74.20431528314464,1452.7807088199145,1555.109191765425,1661.2382646209041,re_eastern_europe,POL,1038
41,1852,Eastern Europe,23.017584053096115,37010.760935642094,34560.286161121316,39550.55761435727,1771.0,19.0,76.88520432877013,1500.4774012331577,1606.853875737875,1717.1093082966233,re_eastern_europe,POL,1062
42,1853,Eastern Europe,23.04761949332551,38259.38615799681,35711.81183402282,40898.21686065128,1835.5,19.0,79.56609337439562,1548.174093646401,1658.598559710325,1772.9803519723428,re_eastern_europe,POL,1108
43,1854,Eastern Europe,23.077654933554903,39508.01138035152,36863.33750692431,42245.87610694529,1900.0,19.0,82.24698242002111,1595.8707860596442,1710.3432436827748,1828.851395648062,re_eastern_europe,POL,1133
44,1855,Eastern Europe,23.107690373784294,40756.63660270623,38014.863179825814,43593.53535323929,1964.5,19.0,84.9278714656466,1643.5674784728876,1762.0879276552246,1884.7224393237814,re_eastern_europe,POL,1162
45,1856,Eastern Europe,23.137725814013688,42005.26182506095,39166.38885272731,44941.1945995333,2029.0,19.0,87.6087605112721,1691.2641708861306,1813.8326116276744,1940.5934829995008,re_eastern_europe,POL,1159
46,1857,Eastern Europe,23.167761254243082,43253.887047415665,40317.91452562881,46288.85384582731,2093.5,19.0,90.28964955689759,1738.960863299374,1865.5772956001242,1996.46452667522,re_eastern_europe,POL,1183
47,1858,Eastern Europe,23.197796694472476,44502.51226977038,41469.44019853031,47636.51309212131,2158.0,19.0,92.97053860252308,1786.6575557126173,1917.321979572574,2052.335570350939,re_eastern_europe,POL,1237
48,1859,Eastern Europe,23.22783213470187,45751.1374921251,42620.96587143181,48984.17233841532,2222.5,19.0,95.65142764814857,1834.3542481258605,1969.066663545024,2108.206614026659,re_eastern_europe,POL,1296
49,1860,Eastern Europe,23.257867574931264,46999.76271447981,43772.49154433331,50331.83158470933,2287.0,19.0,98.33231669377406,1882.0509405391037,2020.811347517474,2164.077657702378,re_eastern_europe,POL,1358
50,1861,Eastern Europe,23.257867574931264,46999.76271447981,43772.49154433331,50331.83158470933,2287.0,19.0,98.33231669377406,1882.0509405391037,2020.811347517474,2164.077657702378,re_eastern_europe,POL,1387
51,1862,Eastern Europe,23.257867574931264,46999.76271447981,43772.49154433331,50331.83158470933,2287.0,19.0,98.33231669377406,1882.0509405391037,2020.811347517474,2164.077657702378,re_eastern_europe,POL,1376
52,1863,Eastern Europe,23.257867574931264,46999.76271447981,43772.49154433331,50331.83158470933,2287.0,19.0,98.33231669377406,1882.0509405391037,2020.811347517474,2164.077657702378,re_eastern_europe,POL,1387
