N_est,lower,upper,decade,region
26.44498607192526,3.0650958202421696,34.96728067011852,-610,Arabic world
10.195870713344943,3.4417758782806622,17.657934749644316,-520,Arabic world
18.557425023972343,9.906571975772213,28.392611946693233,-360,Arabic world
5.967469621843402,3.211207793114601,9.20308922670159,-330,Arabic world
5.914322454113597,3.21044929135384,9.132866113182148,-320,Arabic world
5.870455674152707,3.187381841737483,9.053895422879924,-310,Arabic world
5.835615992588903,3.148310475935683,9.04784914217604,-300,Arabic world
5.79216614860546,3.117364960312892,8.99811813036597,-280,Arabic world
23.13278370645703,12.385585481816047,35.80133683576452,-270,Arabic world
34.69516526018112,18.54971944995226,53.8660353075997,-260,Arabic world
5.790039085362527,3.092853457020719,8.992722151699281,-250,Arabic world
17.4169065104111,9.273117633939897,27.051478062208147,-240,Arabic world
5.829255353752661,3.0974511347747367,9.06004623769067,-230,Arabic world
11.72176312686036,6.221668516704628,18.183826043735035,-220,Arabic world
6.132159962568447,3.2986184617823873,9.36742244607153,-170,Arabic world
24.828663422894213,13.414222258754213,37.87159455856017,-160,Arabic world
6.470295286684525,3.560341973493297,9.8071205997062,-130,Arabic world
19.71039371751171,10.945662215586179,29.784989739469722,-120,Arabic world
13.805473937058858,7.759349703990814,20.738186463646503,-90,Arabic world
29.107040635356803,16.761438182301724,43.12725627516774,-60,Arabic world
14.81581816855351,8.616729708091807,21.946185388223952,-50,Arabic world
15.081821052310834,8.807214964520508,22.359042815226,-40,Arabic world
7.808111749092496,4.57663586505595,11.4301588730525,-20,Arabic world
7.939730416737041,4.671298768228492,11.634547877138347,-10,Arabic world
17.024781162864485,9.992201122556715,24.906585952558892,40,Arabic world
8.596393323558079,5.027218330898999,12.588852064840891,50,Arabic world
8.665449676033164,5.044766908744053,12.699705584330825,60,Arabic world
8.717565087506596,5.064843158287902,12.796039172454716,70,Arabic world
17.501764144188947,10.191234377853048,25.730407653591055,80,Arabic world
8.758629599715901,5.123156281727955,12.88672835587211,100,Arabic world
94.42087931431597,55.69215900485631,138.15811283611984,140,Arabic world
8.511991952770614,5.04373984458999,12.399353866070943,150,Arabic world
8.261661131260839,4.890914823841864,12.076004759191877,180,Arabic world
16.16613401513441,9.468754872432354,23.675281705254175,200,Arabic world
7.994764508483664,4.678226189398521,11.759585642813933,210,Arabic world
100.71854477298629,58.64024676616891,150.1540659504875,240,Arabic world
7.674027513985182,4.458682632298684,11.47520397311161,250,Arabic world
37.442819221989296,21.18091502068418,57.0343718952522,280,Arabic world
7.439833437488833,4.1652569056191275,11.401126629749326,290,Arabic world
7.336620022769946,3.9670053009133217,11.432444987100432,320,Arabic world
43.83251716231381,23.296228654674998,68.67929730484444,340,Arabic world
7.301631124262949,3.867491353363139,11.478996672671867,350,Arabic world
7.318912180085061,3.8437877978155006,11.550216687630167,370,Arabic world
29.362835174845692,15.391021764191686,46.38984039743563,380,Arabic world
29.64659885342732,15.592118252680654,46.730968660262754,400,Arabic world
7.516383863103525,4.0104762050731715,11.796860162704084,420,Arabic world
68.8720031868777,37.34098989980453,107.0555393329172,440,Arabic world
7.7317248901361255,4.224972295583107,11.971195152541235,450,Arabic world
7.911993151794399,4.413551187609119,12.141787373002906,470,Arabic world
40.06319412845166,22.618732696019602,61.035223866271075,480,Arabic world
8.233801625551813,4.790565350522978,12.361566402795544,500,Arabic world
43.721662298801206,26.95356562879499,63.72316422987896,540,Arabic world
18.04614855382576,11.390433654322125,26.002818784256853,560,Arabic world
9.306346797507754,5.975293149625449,13.416830200438248,580,Arabic world
9.4460723099522,6.12835438928936,13.483785138694056,590,Arabic world
28.746656318077584,18.827751429273476,40.682838635168515,600,Arabic world
19.425651315932186,12.819424000595717,27.434121839540452,610,Arabic world
29.50728637790113,19.594503387743263,41.38134208363406,620,Arabic world
19.897498061688818,13.22420933800682,27.95467992923409,630,Arabic world
110.543290540159,73.40176774783926,155.46140155853107,640,Arabic world
30.405637351028286,20.264430787536742,42.70794449758948,650,Arabic world
51.01858807459548,34.10863093292,71.76165133432136,660,Arabic world
102.7901959957921,69.2001598517486,144.15918714961617,680,Arabic world
30.845321654345085,20.896217162976722,43.10751371536007,690,Arabic world
41.045207156568225,27.966786059176698,57.14979112879085,700,Arabic world
20.437957044964442,13.998541426717697,28.307389834638453,710,Arabic world
50.78201249110668,34.989322018836795,69.94945956983086,720,Arabic world
60.452043837072516,41.90750003449551,83.08941963488606,730,Arabic world
249.44187845986104,173.84095783737789,341.64328604760703,740,Arabic world
19.730706838882593,13.821577111501293,26.85615962373269,750,Arabic world
58.44205596477137,41.24179721591212,79.30170151639706,760,Arabic world
28.813769456270485,20.531265099540587,38.86071140863443,770,Arabic world
122.97984029960301,88.18523132954839,164.63502239694222,780,Arabic world
55.85008441483789,40.256853901934264,74.24836614396797,790,Arabic world
73.21101379673834,53.10805207576942,96.72718907363156,800,Arabic world
80.91598294373134,59.04851375010462,106.07177923326026,810,Arabic world
35.31068697466237,25.903022338062765,45.88469206267329,820,Arabic world
43.31861820730758,31.899796502891764,56.1675828656663,830,Arabic world
127.5001669746084,94.29213416694562,164.4956381333806,840,Arabic world
75.0383273395986,55.68233666528527,96.14022386289314,850,Arabic world
49.06437618997932,36.51549317377001,62.67830167535334,860,Arabic world
56.141632803433936,41.85130290412126,71.51889338019902,870,Arabic world
70.8012221207234,52.97435049482169,90.20798297636729,880,Arabic world
30.870808072938118,23.078290153960587,39.292216572628206,890,Arabic world
30.293764820608843,22.626592869851564,38.58951619462898,900,Arabic world
22.30335615408043,16.677176369568468,28.49563172030588,910,Arabic world
