,N_est,lower,upper,decade,region
0,3.8577062624311393,2.9891445792906284,4.823692787685014,-610,Arabic world
1,4.805489427234901,3.855479920780553,5.824078680049953,-520,Arabic world
2,5.286410746429477,4.247587519255551,6.401217737954987,-400,Arabic world
3,16.216260677390306,12.85083734972233,19.886425358029545,-360,Arabic world
4,5.526227405148068,4.35971525085056,6.806881746009607,-330,Arabic world
5,5.622197798237457,4.43989248167658,6.91245460113803,-310,Arabic world
6,34.042803294020985,26.941015006233066,41.85414834946512,-300,Arabic world
7,5.782610409173454,4.587990683888445,7.106737040202777,-280,Arabic world
8,23.356618701043704,18.580103641283788,28.649275189091387,-270,Arabic world
9,17.689998698300272,14.090716248062948,21.66769886382629,-260,Arabic world
10,5.9547816155899165,4.750901780766482,7.269677928671205,-250,Arabic world
11,12.026234548360726,9.619696908646388,14.650897567722872,-240,Arabic world
12,6.071266168475374,4.873507728956241,7.3697944015146435,-230,Arabic world
13,12.257589676391412,9.847810861652096,14.851446713091994,-220,Arabic world
14,6.240111887607486,5.02596453737374,7.54622971240572,-200,Arabic world
15,6.389869918773439,5.163363651569608,7.711418935182052,-170,Arabic world
16,12.86576296349053,10.381746177592172,15.50917770441768,-160,Arabic world
17,6.532213170546748,5.244623019033123,7.903110049009252,-130,Arabic world
18,19.659455457752067,15.750885853383386,23.86832398867573,-120,Arabic world
19,13.14521875346163,10.468894544985346,16.01117557046986,-100,Arabic world
20,13.139531897062197,10.423849110230476,16.023040461589375,-90,Arabic world
21,13.006780980871133,10.187772563950135,15.97496964587155,-60,Arabic world
22,12.92035442952327,10.108845325574666,15.894690676290814,-50,Arabic world
23,12.811394933130282,10.02169870920044,15.751694674486512,-40,Arabic world
24,6.26243203881922,4.900650437962606,7.697311167892306,-20,Arabic world
25,6.175248593396224,4.837979472029169,7.580515633414528,-10,Arabic world
26,11.272938020200996,8.955104608361724,13.693315541269731,40,Arabic world
27,5.516953314644519,4.403147772521612,6.683260951709007,50,Arabic world
28,5.396176049709072,4.324422154910118,6.505468115879526,60,Arabic world
29,5.275122181506846,4.237803306264121,6.336988464348232,70,Arabic world
30,10.309381193239648,8.315844594911667,12.349116690959912,80,Arabic world
31,19.67542369642576,16.02407285602477,23.43810809390606,100,Arabic world
32,44.84806517468409,36.85356931809663,53.13173695863285,140,Arabic world
33,7.412393975699709,5.961131787633277,8.971157296993148,170,Arabic world
34,23.85686712680852,19.723292941228955,28.311516023493947,200,Arabic world
35,3.911069191398624,3.2320494626978653,4.6455859214018576,210,Arabic world
36,3.85202447605628,3.1781643351349373,4.579258444900107,220,Arabic world
37,26.26772250882225,21.699216925035568,31.26768684998026,240,Arabic world
38,3.712351556371587,3.0621009010962235,4.422213768516809,250,Arabic world
39,23.42443892715806,18.983219533556948,28.37515961267468,280,Arabic world
40,3.6194502306434826,2.988006340408872,4.3207619182861805,290,Arabic world
41,3.6142238810605902,2.984462569751269,4.304013675011117,300,Arabic world
42,3.6247813513138807,2.9973138219818365,4.310860270721153,320,Arabic world
43,18.30777831576776,15.209006822061417,21.69261263084579,340,Arabic world
44,3.689263115822773,3.068505820881894,4.369841868000645,350,Arabic world
45,3.7625731596321215,3.142461763363253,4.439635477923744,370,Arabic world
46,15.23176481758432,12.729512853838973,17.970043275735044,380,Arabic world
47,23.49363037385263,19.66181014039569,27.730870180401148,400,Arabic world
48,4.04520657181741,3.376352524477064,4.76761757459464,420,Arabic world
49,29.37118648476647,24.45057700363188,34.68013364059471,440,Arabic world
50,4.278784849522061,3.548758046335158,5.0577354942425785,450,Arabic world
51,4.458796516859982,3.688481543806701,5.300878905593745,470,Arabic world
52,22.777165371529584,18.804511208933363,27.16377906729357,480,Arabic world
53,4.76044430978009,3.896443008797292,5.723374759147043,500,Arabic world
54,26.026957790618283,20.858617124910865,31.71889546045095,540,Arabic world
55,10.872260547443132,8.626346500687148,13.302349234444172,560,Arabic world
56,11.328804134735826,8.920788040478877,13.95107105600994,580,Arabic world
57,17.648650700519013,13.844138691750526,21.841162067626883,600,Arabic world
58,11.971835704538073,9.385288733365272,14.829747798758357,610,Arabic world
59,36.50093745247381,28.600725560576123,45.21284856728983,620,Arabic world
60,43.226666088815406,33.89990758246159,53.52626377024198,630,Arabic world
61,43.827416091557744,34.40398222097144,54.17608482929285,640,Arabic world
62,12.681796951788495,9.953944748870107,15.654380111541435,650,Arabic world
63,25.65897938655074,20.18616944956667,31.61479229062649,660,Arabic world
64,65.44622815663271,51.849050458595805,80.36488626724872,680,Arabic world
65,26.40330537351858,20.99176808301587,32.35579634393695,690,Arabic world
66,46.55960881896127,37.25411006822264,56.908265355828576,700,Arabic world
67,20.08925736390516,16.153573825802535,24.44766749963605,710,Arabic world
68,33.68071858661904,27.16453572096021,40.79968211283724,720,Arabic world
69,40.62444721158786,32.97048700089044,48.92938450639357,730,Arabic world
70,136.00837973369707,111.06935450133072,162.82726485990602,740,Arabic world
71,13.650786909202893,11.20907815119393,16.28742804908934,750,Arabic world
72,41.07531925482829,33.88068953788946,48.810230720203016,760,Arabic world
73,20.58636797147394,17.056806238371088,24.396012040460317,770,Arabic world
74,89.36623738863284,74.16995797825051,105.56877464343376,780,Arabic world
75,41.29630792913645,34.432856951359305,48.6796713056424,790,Arabic world
76,68.87515770769195,57.638968178429785,81.09202390963485,800,Arabic world
77,62.00037176713506,52.06037456186281,72.75159608526997,810,Arabic world
78,34.43582437847269,28.946843783483565,40.28903295476344,820,Arabic world
79,41.29449206328683,34.723624659739365,48.22469792813281,830,Arabic world
