N_est,lower,upper,decade,region
4.38642435121304,3.3539133290658736,5.531837438671323,-610,Arabic world
4.906361390826305,3.8926102547840555,6.024399273585854,-520,Arabic world
5.1888553421780745,4.135944690326984,6.329057244111538,-400,Arabic world
15.920481471105544,12.577407300396988,19.575755145505088,-360,Arabic world
5.431743456527764,4.280787276643796,6.679774632509454,-330,Arabic world
5.531369152931194,4.350218154009694,6.805165643469046,-310,Arabic world
33.510480370074426,26.440145607177875,41.19063233440639,-300,Arabic world
5.698652275536793,4.515067239867255,6.965336517073345,-280,Arabic world
23.031349135971947,18.26798060053993,28.08222160517325,-270,Arabic world
17.454448864008206,13.878562102836481,21.22307452454746,-260,Arabic world
5.879213091357275,4.683455333107571,7.125760563254656,-250,Arabic world
11.881258133416635,9.491430322978529,14.369260140216651,-240,Arabic world
6.00197310493419,4.813625616452067,7.235405049500032,-230,Arabic world
12.125584085775536,9.755309908722111,14.592173735584693,-220,Arabic world
6.180884883589835,4.986661252930597,7.422728731024359,-200,Arabic world
6.3408999109293305,5.113625761834057,7.6108546236316075,-170,Arabic world
12.774472122452691,10.299367422516694,15.37509514235888,-160,Arabic world
6.495789683795525,5.217500176692432,7.865750945505113,-130,Arabic world
19.55830028779498,15.652156021031047,23.728693931115647,-120,Arabic world
13.087068532997499,10.37671113502546,15.936355597367573,-100,Arabic world
13.085122282404235,10.333501951096677,15.948770479531678,-90,Arabic world
12.959274085565767,10.151486908810893,15.942697671655653,-60,Arabic world
12.873558348543014,10.085241347913943,15.886369117559115,-50,Arabic world
12.764466813610262,9.983186724829297,15.772735803807125,-40,Arabic world
6.23758237445683,4.900058989369831,7.686690346766161,-20,Arabic world
6.149158458098209,4.837253456784061,7.567968865940239,-10,Arabic world
11.20214244709226,8.945472946557928,13.696744015108981,40,Arabic world
5.479457103655694,4.394652342268401,6.685861020770278,50,Arabic world
5.356610752974908,4.307713097128399,6.518604223753868,60,Arabic world
5.233552950755602,4.226661684429787,6.347685515589774,70,Arabic world
15.333638179443602,12.424220453884871,18.562114036136176,80,Arabic world
19.487758880839564,15.86913494377472,23.511210888932805,100,Arabic world
39.896165000860144,32.579916632745515,47.67952712643192,140,Arabic world
7.304680763024277,5.8004261147005876,8.892753475829329,170,Arabic world
8.13934691479914,6.665598472591433,9.707896712788505,180,Arabic world
23.530512599983076,19.26770525286205,28.0644739777248,200,Arabic world
3.8567831274376254,3.157067145634945,4.602413485803015,210,Arabic world
3.797975966043937,3.1093764889133544,4.538193484138444,220,Arabic world
18.496649055762507,15.107101296586201,22.20887039136088,240,Arabic world
3.659750668583324,2.9901151652360247,4.398805171509283,250,Arabic world
33.81968039026944,27.17322491797406,41.133634984627896,280,Arabic world
3.5704375838053704,2.9088856931532403,4.302166244193299,290,Arabic world
3.566426579824574,2.9047380884632346,4.302743484036517,300,Arabic world
3.5798055835700535,2.9238045582149046,4.3027012253880175,320,Arabic world
7.239846794432144,5.926218739860736,8.651993425461365,340,Arabic world
3.6495062639129503,2.991172484309392,4.354477408172791,350,Arabic world
3.7270025241788667,3.0610558865959296,4.439942323817308,370,Arabic world
18.87347548911538,15.51958463241501,22.39632443857613,380,Arabic world
23.32504445288023,19.29564098811587,27.642972041317165,400,Arabic world
4.022969014074927,3.3271734547731797,4.76654348517598,420,Arabic world
25.081559663316707,20.75144326038301,29.77103429979696,440,Arabic world
4.266756660427466,3.5260039841703352,5.069435049526643,450,Arabic world
4.454528553650223,3.6589775603147343,5.311303969560233,470,Arabic world
22.77658330338999,18.628101696141744,27.205887580844763,480,Arabic world
4.7691112877977355,3.8781883221215123,5.717574458791144,500,Arabic world
26.16441432184386,20.84493453628579,31.83188542876015,540,Arabic world
10.946147282169955,8.667654253557384,13.456505646047418,560,Arabic world
11.420531153683841,9.001174570929459,14.107633455069488,580,Arabic world
17.809797368771015,13.975606638961635,22.09933487474654,600,Arabic world
12.085942753037349,9.472641719486228,15.009660679177411,610,Arabic world
36.86034996224807,28.901765947692052,45.78173818259947,620,Arabic world
43.66232766259766,34.2669536309372,54.14612021398371,630,Arabic world
44.27581485879485,34.76530912235217,54.875118341321404,640,Arabic world
12.81252540975544,10.090536545444294,15.849578043785527,650,Arabic world
25.923650770259673,20.48856103577023,32.006199748921595,660,Arabic world
66.10945656975362,52.745862857522276,81.12742240468697,680,Arabic world
26.6661613340372,21.35832555700808,32.57050292968087,690,Arabic world
47.01236848733392,37.833615440853265,57.25535635643355,700,Arabic world
20.279003144937462,16.397171485138788,24.571961511677145,710,Arabic world
33.987968598566354,27.609793773756497,41.060623862645464,720,Arabic world
40.980343133472836,33.44538608846545,49.36322994060832,730,Arabic world
137.1459718163237,112.39929375482885,164.31662552102313,740,Arabic world
13.759136367944443,11.333126749875674,16.45032661861175,750,Arabic world
41.38273329334166,34.142137852430665,49.18282622464119,760,Arabic world
20.73065850596079,17.17940547695062,24.58612932471231,770,Arabic world
96.86765787882631,80.70469614236274,114.59479750954922,780,Arabic world
41.544445951521034,34.69545795611578,48.94637820464146,790,Arabic world
69.2533740861161,57.96798034156808,81.42139567557994,800,Arabic world
62.30835888911778,52.247449937830964,73.15750774813344,810,Arabic world
34.58875115194509,29.11804796921945,40.58296898568307,820,Arabic world
41.45616778413564,34.94721096026607,48.646084794194444,830,Arabic world
75.88020976647057,63.905222733217286,89.08824750070347,840,Arabic world
55.07580936344035,46.36135275793454,64.77022446754208,850,Arabic world
47.07869553773171,39.34940781160064,55.52847975113953,860,Arabic world
61.65105243052643,51.68782033529726,72.57741000665241,870,Arabic world
