,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,model,time
"bs(decade, knots=iknots, intercept=True)[2]",0.317,1.591,-2.768,3.183,0.058,0.041,755.0,1374.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[3]",0.333,1.519,-2.448,3.176,0.062,0.044,611.0,1221.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[4]",-0.243,1.502,-2.869,2.681,0.058,0.041,669.0,1188.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[5]",1.156,1.496,-1.431,4.037,0.06,0.042,626.0,1051.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[6]",-0.095,1.505,-2.911,2.684,0.058,0.041,673.0,1127.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[7]",0.004,1.484,-2.655,2.87,0.061,0.043,593.0,1134.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[8]",0.187,1.473,-2.309,3.061,0.06,0.042,611.0,1022.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[9]",-0.876,1.468,-3.524,1.832,0.059,0.042,627.0,1124.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[10]",-0.529,1.464,-3.154,2.197,0.06,0.042,608.0,1012.0,1.01,base-model,2024-02-29 14:54:43
"bs(decade, knots=iknots, intercept=True)[11]",-0.459,1.464,-3.136,2.21,0.06,0.042,611.0,1064.0,1.01,base-model,2024-02-29 14:54:43
1|region_name_sigma,0.434,0.08,0.289,0.578,0.003,0.002,857.0,1399.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Arabic world],0.167,0.148,-0.131,0.421,0.004,0.003,1278.0,1786.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Balkans],-0.49,0.174,-0.828,-0.185,0.004,0.003,1558.0,2452.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Central Europe],-0.684,0.125,-0.92,-0.449,0.004,0.003,998.0,1506.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Chinese world],0.508,0.138,0.262,0.783,0.004,0.003,1144.0,1979.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[East Slavic],-0.342,0.138,-0.594,-0.078,0.004,0.003,1255.0,1833.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Eastern Europe],-0.614,0.117,-0.828,-0.397,0.004,0.003,858.0,1191.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[France],0.376,0.108,0.172,0.58,0.004,0.003,755.0,1088.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[German world],-0.356,0.109,-0.569,-0.165,0.004,0.003,759.0,1166.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Greek World],-0.422,0.168,-0.733,-0.113,0.004,0.003,1561.0,2248.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Indian world],0.498,0.197,0.098,0.835,0.004,0.003,2016.0,2701.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Italy],-0.082,0.112,-0.287,0.136,0.004,0.003,764.0,1102.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Japan],0.256,0.153,-0.026,0.544,0.004,0.003,1454.0,2339.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Korea],0.155,0.273,-0.407,0.627,0.005,0.004,2907.0,2152.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Latin World],0.238,0.204,-0.137,0.634,0.004,0.003,2341.0,2514.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Low countries],0.491,0.112,0.287,0.71,0.004,0.003,823.0,1151.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Nordic countries],-0.046,0.121,-0.277,0.171,0.004,0.003,955.0,1432.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Persian world],0.106,0.199,-0.257,0.49,0.004,0.003,2051.0,2571.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Portugal],-0.205,0.194,-0.545,0.182,0.004,0.003,2146.0,2334.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[Spain],0.039,0.125,-0.213,0.259,0.004,0.003,937.0,1400.0,1.0,base-model,2024-02-29 14:54:43
1|region_name[United Kingdom],0.402,0.11,0.197,0.609,0.004,0.003,785.0,1139.0,1.0,base-model,2024-02-29 14:54:43
