,region_code,country_code_maddison,year,gdp_per_capita,region_name
0,re_italy,ITA,1810,2558,Italy
1,re_italy,ITA,1811,2473,Italy
2,re_italy,ITA,1812,2527,Italy
3,re_italy,ITA,1813,2596,Italy
4,re_italy,ITA,1814,2627,Italy
5,re_italy,ITA,1815,2511,Italy
6,re_italy,ITA,1816,2473,Italy
7,re_italy,ITA,1817,2496,Italy
8,re_italy,ITA,1818,2688,Italy
9,re_italy,ITA,1819,2665,Italy
10,re_italy,ITA,1820,2665,Italy
11,re_italy,ITA,1821,2619,Italy
12,re_italy,ITA,1822,2650,Italy
13,re_italy,ITA,1823,2673,Italy
14,re_italy,ITA,1824,2742,Italy
15,re_italy,ITA,1825,2703,Italy
16,re_italy,ITA,1826,2780,Italy
17,re_italy,ITA,1827,2734,Italy
18,re_italy,ITA,1828,2703,Italy
19,re_italy,ITA,1829,2696,Italy
20,re_italy,ITA,1830,2657,Italy
21,re_italy,ITA,1831,2750,Italy
22,re_italy,ITA,1832,2773,Italy
23,re_italy,ITA,1833,2788,Italy
24,re_italy,ITA,1834,2811,Italy
25,re_italy,ITA,1835,2888,Italy
26,re_italy,ITA,1836,2680,Italy
27,re_italy,ITA,1837,2611,Italy
28,re_italy,ITA,1838,2650,Italy
29,re_italy,ITA,1839,2627,Italy
30,re_italy,ITA,1840,2711,Italy
31,re_italy,ITA,1841,2765,Italy
32,re_italy,ITA,1842,2788,Italy
33,re_italy,ITA,1843,2650,Italy
34,re_italy,ITA,1844,2650,Italy
35,re_italy,ITA,1845,2673,Italy
36,re_italy,ITA,1846,2650,Italy
37,re_italy,ITA,1847,2588,Italy
38,re_italy,ITA,1848,2657,Italy
39,re_italy,ITA,1849,2642,Italy
40,re_italy,ITA,1850,2611,Italy
41,re_italy,ITA,1851,2611,Italy
42,re_italy,ITA,1852,2573,Italy
43,re_italy,ITA,1853,2519,Italy
44,re_italy,ITA,1854,2350,Italy
45,re_italy,ITA,1855,2373,Italy
46,re_italy,ITA,1856,2381,Italy
47,re_italy,ITA,1857,2573,Italy
48,re_italy,ITA,1858,2673,Italy
49,re_italy,ITA,1859,2588,Italy
50,re_italy,ITA,1860,2573,Italy
51,re_italy,ITA,1861,2558,Italy
52,re_italy,ITA,1862,2634,Italy
53,re_italy,ITA,1863,2688,Italy
54,re_italy,ITA,1864,2642,Italy
55,re_italy,ITA,1865,2780,Italy
56,re_italy,ITA,1866,2588,Italy
57,re_italy,ITA,1867,2611,Italy
58,re_italy,ITA,1868,2627,Italy
59,re_italy,ITA,1869,2696,Italy
60,re_italy,ITA,1870,2826,Italy
61,re_italy,ITA,1871,2811,Italy
62,re_italy,ITA,1872,2593,Italy
63,re_italy,ITA,1873,2581,Italy
64,re_italy,ITA,1874,2715,Italy
65,re_italy,ITA,1875,2727,Italy
66,re_italy,ITA,1876,2662,Italy
67,re_italy,ITA,1877,2678,Italy
68,re_italy,ITA,1878,2745,Italy
69,re_italy,ITA,1879,2753,Italy
70,re_italy,ITA,1880,2796,Italy
71,re_eastern_europe,POL,1811,690,Eastern Europe
72,re_eastern_europe,POL,1812,663,Eastern Europe
73,re_eastern_europe,POL,1813,679,Eastern Europe
74,re_eastern_europe,POL,1814,720,Eastern Europe
75,re_eastern_europe,POL,1815,733,Eastern Europe
76,re_eastern_europe,POL,1816,736,Eastern Europe
77,re_eastern_europe,POL,1817,746,Eastern Europe
78,re_eastern_europe,POL,1818,762,Eastern Europe
79,re_eastern_europe,POL,1819,792,Eastern Europe
80,re_eastern_europe,POL,1820,818,Eastern Europe
81,re_eastern_europe,POL,1821,834,Eastern Europe
82,re_eastern_europe,POL,1822,850,Eastern Europe
83,re_eastern_europe,POL,1823,870,Eastern Europe
84,re_eastern_europe,POL,1824,888,Eastern Europe
