,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
gender-model,0,-22343.061790658754,30.136416548422858,0.0,0.9705767784043716,225.85502326356269,0.0,False,log
base-model,1,-22360.304195949902,29.017945771600353,17.242405291151364,0.02942322159562838,225.9806640860391,5.799141502785821,False,log
