,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
category-model,0,-9737.934008764856,18.54734108220873,0.0,0.9072913300392981,41.626740033612755,0.0,False,log
base-model,1,-9763.608949883506,15.953421452702969,25.6749411186482,0.09270866996070193,41.03243523495279,7.939955710164093,False,log
